"scientific_name","common_name","order","family","status_AFR","status_ASI","status_AUS","status_CA","status_CAM","status_CAR","status_EUR","status_hol","status_MID","status_NAM","status_NaN","status_nea","status_oaq","status_oat","status_OCE","status_oin","status_opa","status_PAC","status_pal","status_SAM","status_TT","status_US48","status_USak","status_UShi","status_XX","regions"
"Alectoris chukar","Chukar","GALLIFORMES","Phasianidae","","","Introduced species","Introduced species","Introduced species",NA,"","","","Introduced species",NA,"Introduced species",NA,NA,"Introduced species",NA,NA,"Introduced species","",NA,NA,"Introduced species",NA,"Introduced species",NA,"AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi"
"Columba livia","Rock Pigeon","COLUMBIFORMES","Columbidae","","","","Introduced species","Introduced species","Introduced species","","","","Introduced species","Introduced species","Introduced species",NA,NA,"",NA,NA,"","","Introduced species","Introduced species","Introduced species","Introduced species","Introduced species","Introduced species","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Columba palumbus","Common Wood-Pigeon","COLUMBIFORMES","Columbidae","","",NA,"Rare/Accidental",NA,NA,"","","","Rare/Accidental",NA,"Uncertain origin",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal"
"Streptopelia turtur","European Turtle-Dove","COLUMBIFORMES","Columbidae","Vulnerable","Vulnerable",NA,NA,NA,NA,"Vulnerable","Vulnerable","Vulnerable","Rare/Accidental Vulnerable",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,"Vulnerable",NA,NA,"Rare/Accidental Vulnerable",NA,NA,"Uncertain origin Vulnerable","AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; XX"
"Streptopelia orientalis","Oriental Turtle-Dove","COLUMBIFORMES","Columbidae","Rare/Accidental","","Rare/Accidental","Rare/Accidental",NA,NA,"Rare/Accidental","","Rare/Accidental","",NA,"",NA,NA,"Rare/Accidental",NA,NA,NA,"",NA,NA,"Rare/Accidental","Rare/Accidental",NA,"","AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; US48; USak; XX"
"Streptopelia decaocto","Eurasian Collared-Dove","COLUMBIFORMES","Columbidae","","",NA,"Introduced species","Introduced species","Introduced species","","","","Introduced species","Introduced species","Introduced species",NA,NA,NA,NA,NA,NA,"","Rare/Accidental","Rare/Accidental","Introduced species","Introduced species",NA,NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; TT; US48; USak"
"Spilopelia chinensis","Spotted Dove","COLUMBIFORMES","Columbidae","","","",NA,"Introduced species","Extirpated",NA,"","Introduced species","Introduced species",NA,"Introduced species",NA,NA,"",NA,NA,"","",NA,NA,"Introduced species",NA,"Introduced species",NA,"AFR; ASI; AUS; CAM; CAR; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi"
"Coccyzus americanus","Yellow-billed Cuckoo","CUCULIFORMES","Cuculidae","",NA,NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,"",NA,NA,"","","","","","Rare/Accidental","Rare/Accidental",NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi"
"Cuculus canorus","Common Cuckoo","CUCULIFORMES","Cuculidae","","","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental","","","","",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","","Rare/Accidental",NA,"Rare/Accidental","Rare/Accidental","Rare/Accidental",NA,"AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi"
"Chordeiles minor","Common Nighthawk","CAPRIMULGIFORMES","Caprimulgidae","Rare/Accidental",NA,NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,"Rare/Accidental",NA,NA,"Rare/Accidental","Rare/Accidental","",NA,"","Rare/Accidental","Rare/Accidental",NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi"
"Chaetura pelagica","Chimney Swift","APODIFORMES","Apodidae","Rare/Accidental Vulnerable",NA,NA,"Vulnerable","Vulnerable","Vulnerable","Rare/Accidental Vulnerable","Vulnerable",NA,"Vulnerable","Vulnerable","Rare/Accidental Vulnerable",NA,NA,"Rare/Accidental Vulnerable",NA,NA,"Rare/Accidental Vulnerable","Rare/Accidental Vulnerable","Vulnerable",NA,"Vulnerable","Rare/Accidental Vulnerable",NA,NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak"
"Hirundapus caudacutus","White-throated Needletail","APODIFORMES","Apodidae","","","",NA,NA,NA,"Rare/Accidental","",NA,"",NA,"",NA,NA,"",NA,NA,"","",NA,NA,NA,"Rare/Accidental",NA,NA,"AFR; ASI; AUS; EUR; hol; NAM; nea; OCE; PAC; pal; USak"
"Apus apus","Common Swift","APODIFORMES","Apodidae","","","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental","","","","","Rare/Accidental","Rare/Accidental",NA,NA,"Rare/Accidental",NA,NA,NA,"","Rare/Accidental",NA,"Rare/Accidental","Rare/Accidental",NA,NA,"AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; pal; SAM; US48; USak"
"Apus pacificus","Pacific Swift","APODIFORMES","Apodidae","","","","Rare/Accidental",NA,NA,"Rare/Accidental","","Rare/Accidental","",NA,"",NA,NA,"",NA,NA,"","Rare/Accidental",NA,NA,NA,"Rare/Accidental","Rare/Accidental",NA,"AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi"
"Crex crex","Corn Crake","GRUIFORMES","Rallidae","","","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental","","","","",NA,"Rare/Accidental",NA,NA,"Rare/Accidental",NA,NA,NA,"","Rare/Accidental",NA,"Rare/Accidental",NA,NA,NA,"AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48"
"Porzana carolina","Sora","GRUIFORMES","Rallidae","Rare/Accidental","Rare/Accidental",NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,NA,NA,NA,NA,"Rare/Accidental","","","","Rare/Accidental","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak; UShi"
"Gallinula chloropus","Eurasian Moorhen","GRUIFORMES","Rallidae","","","",NA,NA,NA,"","","","Rare/Accidental",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","",NA,NA,NA,"Rare/Accidental",NA,NA,"AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak"
"Fulica atra","Eurasian Coot","GRUIFORMES","Rallidae","","","","Rare/Accidental",NA,NA,"","","","",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","",NA,NA,NA,"Rare/Accidental",NA,NA,"AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak"
"Fulica americana","American Coot","GRUIFORMES","Rallidae","Rare/Accidental",NA,NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,NA,NA,NA,NA,"Rare/Accidental","","Rare/Accidental","","Rare/Accidental","Rare/Accidental",NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak; UShi"
"Porphyrio martinica","Purple Gallinule","GRUIFORMES","Rallidae","Rare/Accidental",NA,NA,"Rare/Accidental","","","Rare/Accidental","","Rare/Accidental","","","Rare/Accidental",NA,NA,NA,NA,NA,NA,"","","","",NA,"Rare/Accidental",NA,"AFR; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; TT; US48; UShi"
