common_name,scientific_name,status,order,family,region
Gull-billed Tern,Gelochelidon nilotica,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Caspian Tern,Hydroprogne caspia,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Inca Tern,Larosterna inca,Rare/Accidental Near-threatened,CHARADRIIFORMES,Laridae,UShi
Whiskered Tern,Chlidonias hybrida,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Black Tern,Chlidonias niger,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
White-winged Tern,Chlidonias leucopterus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Arctic Tern,Sterna paradisaea,,CHARADRIIFORMES,Laridae,UShi
Common Tern,Sterna hirundo,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Sandwich Tern,Thalasseus sandvicensis,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Elegant Tern,Thalasseus elegans,Rare/Accidental Near-threatened,CHARADRIIFORMES,Laridae,UShi
Great Crested Tern,Thalasseus bergii,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Pied-billed Grebe,Podilymbus podiceps,Rare/Accidental,PODICIPEDIFORMES,Podicipedidae,UShi
Horned Grebe,Podiceps auritus,Rare/Accidental Vulnerable,PODICIPEDIFORMES,Podicipedidae,UShi
Red-necked Grebe,Podiceps grisegena,Rare/Accidental,PODICIPEDIFORMES,Podicipedidae,UShi
Eared Grebe,Podiceps nigricollis,Rare/Accidental,PODICIPEDIFORMES,Podicipedidae,UShi
White-tailed Tropicbird,Phaethon lepturus,,PHAETHONTIFORMES,Phaethontidae,UShi
Red-billed Tropicbird,Phaethon aethereus,Rare/Accidental,PHAETHONTIFORMES,Phaethontidae,UShi
Red-tailed Tropicbird,Phaethon rubricauda,,PHAETHONTIFORMES,Phaethontidae,UShi
Pacific Loon,Gavia pacifica,Rare/Accidental,GAVIIFORMES,Gaviidae,UShi
Laysan Albatross,Phoebastria immutabilis,Near-threatened,PROCELLARIIFORMES,Diomedeidae,UShi
Black-footed Albatross,Phoebastria nigripes,Near-threatened,PROCELLARIIFORMES,Diomedeidae,UShi
Short-tailed Albatross,Phoebastria albatrus,Vulnerable,PROCELLARIIFORMES,Diomedeidae,UShi
Wilson's Storm-Petrel,Oceanites oceanicus,,PROCELLARIIFORMES,Oceanitidae,UShi
Fork-tailed Storm-Petrel,Hydrobates furcatus,Rare/Accidental,PROCELLARIIFORMES,Hydrobatidae,UShi
Leach's Storm-Petrel,Hydrobates leucorhous,Vulnerable,PROCELLARIIFORMES,Hydrobatidae,UShi
Band-rumped Storm-Petrel,Hydrobates castro,,PROCELLARIIFORMES,Hydrobatidae,UShi
Tristram's Storm-Petrel,Hydrobates tristrami,,PROCELLARIIFORMES,Hydrobatidae,UShi
Northern Fulmar,Fulmarus glacialis,,PROCELLARIIFORMES,Procellariidae,UShi
Kermadec Petrel,Pterodroma neglecta,,PROCELLARIIFORMES,Procellariidae,UShi
Trindade Petrel,Pterodroma arminjoniana,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Procellariidae,UShi
Herald Petrel,Pterodroma heraldica,,PROCELLARIIFORMES,Procellariidae,UShi
Murphy's Petrel,Pterodroma ultima,,PROCELLARIIFORMES,Procellariidae,UShi
Mottled Petrel,Pterodroma inexpectata,Near-threatened,PROCELLARIIFORMES,Procellariidae,UShi
Juan Fernandez Petrel,Pterodroma externa,Vulnerable,PROCELLARIIFORMES,Procellariidae,UShi
Hawaiian Petrel,Pterodroma sandwichensis,Breeding endemic Endangered,PROCELLARIIFORMES,Procellariidae,UShi
White-necked Petrel,Pterodroma cervicalis,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,UShi
Bonin Petrel,Pterodroma hypoleuca,,PROCELLARIIFORMES,Procellariidae,UShi
Black-winged Petrel,Pterodroma nigripennis,,PROCELLARIIFORMES,Procellariidae,UShi
Cook's Petrel,Pterodroma cookii,Vulnerable,PROCELLARIIFORMES,Procellariidae,UShi
Stejneger's Petrel,Pterodroma longirostris,Vulnerable,PROCELLARIIFORMES,Procellariidae,UShi
Bulwer's Petrel,Bulweria bulwerii,,PROCELLARIIFORMES,Procellariidae,UShi
Jouanin's Petrel,Bulweria fallax,Rare/Accidental Near-threatened,PROCELLARIIFORMES,Procellariidae,UShi
Tahiti Petrel,Pseudobulweria rostrata,Rare/Accidental Near-threatened,PROCELLARIIFORMES,Procellariidae,UShi
Streaked Shearwater,Calonectris leucomelas,Rare/Accidental Near-threatened,PROCELLARIIFORMES,Procellariidae,UShi
Pink-footed Shearwater,Ardenna creatopus,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Procellariidae,UShi
