common_name,scientific_name,status,order,family,region
Oriental Scops-Owl,Otus sunia,Rare/Accidental,STRIGIFORMES,Strigidae,USak
Flammulated Owl,Psiloscops flammeolus,Rare/Accidental,STRIGIFORMES,Strigidae,USak
Western Screech-Owl,Megascops kennicottii,Rare/Accidental,STRIGIFORMES,Strigidae,USak
Snowy Owl,Bubo scandiacus,Vulnerable,STRIGIFORMES,Strigidae,USak
Great Horned Owl,Bubo virginianus,,STRIGIFORMES,Strigidae,USak
Northern Hawk Owl,Surnia ulula,,STRIGIFORMES,Strigidae,USak
Northern Pygmy-Owl,Glaucidium gnoma,,STRIGIFORMES,Strigidae,USak
Barred Owl,Strix varia,,STRIGIFORMES,Strigidae,USak
Great Gray Owl,Strix nebulosa,,STRIGIFORMES,Strigidae,USak
Long-eared Owl,Asio otus,Rare/Accidental,STRIGIFORMES,Strigidae,USak
Short-eared Owl,Asio flammeus,,STRIGIFORMES,Strigidae,USak
Boreal Owl,Aegolius funereus,,STRIGIFORMES,Strigidae,USak
Northern Saw-whet Owl,Aegolius acadicus,,STRIGIFORMES,Strigidae,USak
Northern Boobook,Ninox japonica,Rare/Accidental,STRIGIFORMES,Strigidae,USak
Eurasian Hoopoe,Upupa epops,Rare/Accidental,BUCEROTIFORMES,Upupidae,USak
Belted Kingfisher,Megaceryle alcyon,,CORACIIFORMES,Alcedinidae,USak
Eurasian Wryneck,Jynx torquilla,Rare/Accidental,PICIFORMES,Picidae,USak
Yellow-bellied Sapsucker,Sphyrapicus varius,Rare/Accidental,PICIFORMES,Picidae,USak
Red-breasted Sapsucker,Sphyrapicus ruber,,PICIFORMES,Picidae,USak
Lewis's Woodpecker,Melanerpes lewis,Rare/Accidental,PICIFORMES,Picidae,USak
American Three-toed Woodpecker,Picoides dorsalis,,PICIFORMES,Picidae,USak
Black-backed Woodpecker,Picoides arcticus,,PICIFORMES,Picidae,USak
Great Spotted Woodpecker,Dendrocopos major,Rare/Accidental,PICIFORMES,Picidae,USak
Downy Woodpecker,Dryobates pubescens,,PICIFORMES,Picidae,USak
Hairy Woodpecker,Dryobates villosus,,PICIFORMES,Picidae,USak
Pileated Woodpecker,Dryocopus pileatus,Rare/Accidental,PICIFORMES,Picidae,USak
Northern Flicker,Colaptes auratus,,PICIFORMES,Picidae,USak
Eurasian Kestrel,Falco tinnunculus,Rare/Accidental,FALCONIFORMES,Falconidae,USak
American Kestrel,Falco sparverius,,FALCONIFORMES,Falconidae,USak
Merlin,Falco columbarius,,FALCONIFORMES,Falconidae,USak
Eurasian Hobby,Falco subbuteo,Rare/Accidental,FALCONIFORMES,Falconidae,USak
Gyrfalcon,Falco rusticolus,,FALCONIFORMES,Falconidae,USak
Peregrine Falcon,Falco peregrinus,,FALCONIFORMES,Falconidae,USak
Olive-sided Flycatcher,Contopus cooperi,Near-threatened,PASSERIFORMES,Tyrannidae,USak
Western Wood-Pewee,Contopus sordidulus,,PASSERIFORMES,Tyrannidae,USak
Eastern Wood-Pewee,Contopus virens,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Yellow-bellied Flycatcher,Empidonax flaviventris,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Alder Flycatcher,Empidonax alnorum,,PASSERIFORMES,Tyrannidae,USak
Willow Flycatcher,Empidonax traillii,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Least Flycatcher,Empidonax minimus,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Hammond's Flycatcher,Empidonax hammondii,,PASSERIFORMES,Tyrannidae,USak
Dusky Flycatcher,Empidonax oberholseri,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Western Flycatcher,Empidonax difficilis,,PASSERIFORMES,Tyrannidae,USak
Black Phoebe,Sayornis nigricans,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Eastern Phoebe,Sayornis phoebe,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Say's Phoebe,Sayornis saya,,PASSERIFORMES,Tyrannidae,USak
Ash-throated Flycatcher,Myiarchus cinerascens,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Great Crested Flycatcher,Myiarchus crinitus,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Tropical Kingbird,Tyrannus melancholicus,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Western Kingbird,Tyrannus verticalis,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Eastern Kingbird,Tyrannus tyrannus,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Scissor-tailed Flycatcher,Tyrannus forficatus,Rare/Accidental,PASSERIFORMES,Tyrannidae,USak
Cassin's Vireo,Vireo cassinii,Rare/Accidental,PASSERIFORMES,Vireonidae,USak
Blue-headed Vireo,Vireo solitarius,Rare/Accidental,PASSERIFORMES,Vireonidae,USak
