"","common_name","scientific_name","status","order","family","region"
"130","Rufous-tailed Hummingbird","Amazilia tzacatl","","APODIFORMES","Trochilidae","CRhe"
"131","Blue-chested Hummingbird","Polyerata amabilis","","APODIFORMES","Trochilidae","CRhe"
"132","Charming Hummingbird","Polyerata decora","","APODIFORMES","Trochilidae","CRhe"
"133","Blue-throated Goldentail","Chlorestes eliciae","","APODIFORMES","Trochilidae","CRhe"
"134","Spotted Rail","Pardirallus maculatus","","GRUIFORMES","Rallidae","CRhe"
"135","Paint-billed Crake","Mustelirallus erythrops","Rare/Accidental","GRUIFORMES","Rallidae","CRhe"
"136","Uniform Crake","Amaurolimnas concolor","","GRUIFORMES","Rallidae","CRhe"
"137","Rufous-necked Wood-Rail","Aramides axillaris","","GRUIFORMES","Rallidae","CRhe"
"138","Russet-naped Wood-Rail","Aramides albiventris","","GRUIFORMES","Rallidae","CRhe"
"139","Gray-cowled Wood-Rail","Aramides cajaneus","","GRUIFORMES","Rallidae","CRhe"
"140","Sora","Porzana carolina","","GRUIFORMES","Rallidae","CRhe"
"141","Common Gallinule","Gallinula galeata","","GRUIFORMES","Rallidae","CRhe"
"142","American Coot","Fulica americana","","GRUIFORMES","Rallidae","CRhe"
"143","Purple Gallinule","Porphyrio martinica","","GRUIFORMES","Rallidae","CRhe"
"144","White-throated Crake","Laterallus albigularis","","GRUIFORMES","Rallidae","CRhe"
"145","Gray-breasted Crake","Laterallus exilis","","GRUIFORMES","Rallidae","CRhe"
"146","Sungrebe","Heliornis fulica","","GRUIFORMES","Heliornithidae","CRhe"
"147","Limpkin","Aramus guarauna","","GRUIFORMES","Aramidae","CRhe"
"148","Double-striped Thick-knee","Hesperoburhinus bistriatus","","CHARADRIIFORMES","Burhinidae","CRhe"
"149","Black-necked Stilt","Himantopus mexicanus","","CHARADRIIFORMES","Recurvirostridae","CRhe"
"150","American Oystercatcher","Haematopus palliatus","","CHARADRIIFORMES","Haematopodidae","CRhe"
"151","Black-bellied Plover","Pluvialis squatarola","Vulnerable","CHARADRIIFORMES","Charadriidae","CRhe"
"152","American Golden-Plover","Pluvialis dominica","","CHARADRIIFORMES","Charadriidae","CRhe"
"153","Killdeer","Charadrius vociferus","Near-threatened","CHARADRIIFORMES","Charadriidae","CRhe"
"154","Semipalmated Plover","Charadrius semipalmatus","","CHARADRIIFORMES","Charadriidae","CRhe"
"155","Southern Lapwing","Vanellus chilensis","","CHARADRIIFORMES","Charadriidae","CRhe"
"156","Collared Plover","Anarhynchus collaris","","CHARADRIIFORMES","Charadriidae","CRhe"
"157","Northern Jacana","Jacana spinosa","","CHARADRIIFORMES","Jacanidae","CRhe"
"158","Upland Sandpiper","Bartramia longicauda","","CHARADRIIFORMES","Scolopacidae","CRhe"
"159","Hudsonian Whimbrel","Numenius hudsonicus","","CHARADRIIFORMES","Scolopacidae","CRhe"
"160","Short-billed Dowitcher","Limnodromus griseus","Vulnerable","CHARADRIIFORMES","Scolopacidae","CRhe"
"161","Long-billed Dowitcher","Limnodromus scolopaceus","Near-threatened","CHARADRIIFORMES","Scolopacidae","CRhe"
"162","Wilson's Snipe","Gallinago delicata","","CHARADRIIFORMES","Scolopacidae","CRhe"
"163","Spotted Sandpiper","Actitis macularius","","CHARADRIIFORMES","Scolopacidae","CRhe"
"164","Solitary Sandpiper","Tringa solitaria","","CHARADRIIFORMES","Scolopacidae","CRhe"
"165","Lesser Yellowlegs","Tringa flavipes","Vulnerable","CHARADRIIFORMES","Scolopacidae","CRhe"
"166","Willet","Tringa semipalmata","","CHARADRIIFORMES","Scolopacidae","CRhe"
"167","Greater Yellowlegs","Tringa melanoleuca","Near-threatened","CHARADRIIFORMES","Scolopacidae","CRhe"
"168","Stilt Sandpiper","Calidris himantopus","Near-threatened","CHARADRIIFORMES","Scolopacidae","CRhe"
"169","Buff-breasted Sandpiper","Calidris subruficollis","Vulnerable","CHARADRIIFORMES","Scolopacidae","CRhe"
"170","Sanderling","Calidris alba","","CHARADRIIFORMES","Scolopacidae","CRhe"
"171","Baird's Sandpiper","Calidris bairdii","","CHARADRIIFORMES","Scolopacidae","CRhe"
"172","White-rumped Sandpiper","Calidris fuscicollis","Vulnerable","CHARADRIIFORMES","Scolopacidae","CRhe"
"173","Least Sandpiper","Calidris minutilla","Near-threatened","CHARADRIIFORMES","Scolopacidae","CRhe"
"174","Pectoral Sandpiper","Calidris melanotos","","CHARADRIIFORMES","Scolopacidae","CRhe"
"175","Western Sandpiper","Calidris mauri","","CHARADRIIFORMES","Scolopacidae","CRhe"
"176","Semipalmated Sandpiper","Calidris pusilla","Near-threatened","CHARADRIIFORMES","Scolopacidae","CRhe"
"177","Pomarine Jaeger","Stercorarius pomarinus","Rare/Accidental","CHARADRIIFORMES","Stercorariidae","CRhe"
"178","Sabine's Gull","Xema sabini","","CHARADRIIFORMES","Laridae","CRhe"
"179","Laughing Gull","Leucophaeus atricilla","","CHARADRIIFORMES","Laridae","CRhe"
"180","Black Skimmer","Rynchops niger","","CHARADRIIFORMES","Laridae","CRhe"
"181","Sooty Tern","Onychoprion fuscatus","Rare/Accidental","CHARADRIIFORMES","Laridae","CRhe"
"182","Gull-billed Tern","Gelochelidon nilotica","","CHARADRIIFORMES","Laridae","CRhe"
"183","Black Tern","Chlidonias niger","","CHARADRIIFORMES","Laridae","CRhe"
"184","Royal Tern","Thalasseus maximus","Rare/Accidental","CHARADRIIFORMES","Laridae","CRhe"
"185","Least Grebe","Tachybaptus dominicus","","PODICIPEDIFORMES","Podicipedidae","CRhe"
"186","Pied-billed Grebe","Podilymbus podiceps","","PODICIPEDIFORMES","Podicipedidae","CRhe"
"187","Sunbittern","Eurypyga helias","","EURYPYGIFORMES","Eurypygidae","CRhe"
