common_name,scientific_name,status,order,family,region
Kadavu Fantail,Rhipidura personata,Near-threatened,PASSERIFORMES,Rhipiduridae,PAC
Samoan Fantail,Rhipidura nebulosa,,PASSERIFORMES,Rhipiduridae,PAC
Black Drongo,Dicrurus macrocercus,,PASSERIFORMES,Dicruridae,PAC
Tahiti Monarch,Pomarea nigra,Critically endangered,PASSERIFORMES,Monarchidae,PAC
Maupiti Monarch,Pomarea maupitiensis,Endemic Extinct,PASSERIFORMES,Monarchidae,PAC
Rarotonga Monarch,Pomarea dimidiata,Vulnerable,PASSERIFORMES,Monarchidae,PAC
Eiao Monarch,Pomarea fluxa,Extinct,PASSERIFORMES,Monarchidae,PAC
Nuku Hiva Monarch,Pomarea nukuhivae,Extinct,PASSERIFORMES,Monarchidae,PAC
Iphis Monarch,Pomarea iphis,Critically endangered,PASSERIFORMES,Monarchidae,PAC
Ua Pou Monarch,Pomarea mira,Critically endangered,PASSERIFORMES,Monarchidae,PAC
Marquesan Monarch,Pomarea mendozae,Endangered,PASSERIFORMES,Monarchidae,PAC
Fatu Hiva Monarch,Pomarea whitneyi,Critically endangered,PASSERIFORMES,Monarchidae,PAC
Ogea Monarch,Mayrornis versicolor,Near-threatened,PASSERIFORMES,Monarchidae,PAC
Slaty Monarch,Mayrornis lessoni,,PASSERIFORMES,Monarchidae,PAC
Fiji Shrikebill,Clytorhynchus vitiensis,,PASSERIFORMES,Monarchidae,PAC
Chuuk Monarch,Metabolus rugensis,Endangered,PASSERIFORMES,Monarchidae,PAC
Yap Monarch,Monarcha godeffroyi,Near-threatened,PASSERIFORMES,Monarchidae,PAC
Tinian Monarch,Monarcha takatsukasae,Near-threatened,PASSERIFORMES,Monarchidae,PAC
Palau Flycatcher,Myiagra erythrops,,PASSERIFORMES,Monarchidae,PAC
Guam Flycatcher,Myiagra freycineti,Extinct,PASSERIFORMES,Monarchidae,PAC
Pohnpei Flycatcher,Myiagra pluto,,PASSERIFORMES,Monarchidae,PAC
Chuuk Flycatcher,Myiagra oceanica,,PASSERIFORMES,Monarchidae,PAC
Vanikoro Flycatcher,Myiagra vanikorensis,,PASSERIFORMES,Monarchidae,PAC
