"common_name","scientific_name","status","order","family","region"
"Connecticut Warbler","Oporornis agilis","","PASSERIFORMES","Parulidae","CA; US48"
"Mountain Quail","Oreortyx pictus","","GALLIFORMES","Odontophoridae","CA; US48"
"Sage Thrasher","Oreoscoptes montanus","","PASSERIFORMES","Mimidae","CA; US48"
"Crescent-chested Warbler","Oreothlypis superciliosa","Rare/Accidental","PASSERIFORMES","Parulidae","US48"
"Striped Sparrow","Oriturus superciliosus","Rare/Accidental","PASSERIFORMES","Passerellidae","US48"
"Plain Chachalaca","Ortalis vetula","","GALLIFORMES","Cracidae","US48"
"Oriental Scops-Owl","Otus sunia","Rare/Accidental","STRIGIFORMES","Strigidae","AK"
"Ruddy Duck","Oxyura jamaicensis","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Rose-throated Becard","Pachyramphus aglaiae","","PASSERIFORMES","Tityridae","US48"
"Gray-collared Becard","Pachyramphus major","Rare/Accidental","PASSERIFORMES","Tityridae","US48"
"Ivory Gull","Pagophila eburnea","Near-threatened","CHARADRIIFORMES","Laridae","AK; CA; US48"
"Osprey","Pandion haliaetus","","ACCIPITRIFORMES","Pandionidae","AK; CA; US48"
"Harris's Hawk","Parabuteo unicinctus","","ACCIPITRIFORMES","Accipitridae","US48"
"Spotted Rail","Pardirallus maculatus","Rare/Accidental","GRUIFORMES","Rallidae","US48"
"Louisiana Waterthrush","Parkesia motacilla","","PASSERIFORMES","Parulidae","CA; US48"
"Northern Waterthrush","Parkesia noveboracensis","","PASSERIFORMES","Parulidae","AK; CA; US48"
"Yellow-billed Cardinal","Paroaria capitata","Introduced species","PASSERIFORMES","Thraupidae","US48"
"Great Tit","Parus major","Uncertain origin","PASSERIFORMES","Paridae","US48"
"House Sparrow","Passer domesticus","Introduced species","PASSERIFORMES","Passeridae","AK; CA; US48"
"Eurasian Tree Sparrow","Passer montanus","Introduced species","PASSERIFORMES","Passeridae","CA; US48"
"Savannah Sparrow","Passerculus sandwichensis","","PASSERIFORMES","Passerellidae","AK; CA; US48"
"Fox Sparrow","Passerella iliaca","","PASSERIFORMES","Passerellidae","AK; CA; US48"
"Lazuli Bunting","Passerina amoena","","PASSERIFORMES","Cardinalidae","AK; CA; US48"
"Blue Grosbeak","Passerina caerulea","","PASSERIFORMES","Cardinalidae","AK; CA; US48"
"Painted Bunting","Passerina ciris","","PASSERIFORMES","Cardinalidae","CA; US48"
"Indigo Bunting","Passerina cyanea","","PASSERIFORMES","Cardinalidae","AK; CA; US48"
"Varied Bunting","Passerina versicolor","","PASSERIFORMES","Cardinalidae","CA; US48"
"Band-tailed Pigeon","Patagioenas fasciata","Rare/Accidental","COLUMBIFORMES","Columbidae","AK; CA; US48"
"Red-billed Pigeon","Patagioenas flavirostris","","COLUMBIFORMES","Columbidae","US48"
"White-crowned Pigeon","Patagioenas leucocephala","Near-threatened","COLUMBIFORMES","Columbidae","CA; US48"
"Scaly-naped Pigeon","Patagioenas squamosa","Rare/Accidental","COLUMBIFORMES","Columbidae","US48"
"Indian Peafowl","Pavo cristatus","Introduced species","GALLIFORMES","Phasianidae","US48"
"White-faced Storm-Petrel","Pelagodroma marina","","PROCELLARIIFORMES","Oceanitidae","CA; US48"
"American White Pelican","Pelecanus erythrorhynchos","","PELECANIFORMES","Pelecanidae","AK; CA; US48"
"Brown Pelican","Pelecanus occidentalis","","PELECANIFORMES","Pelecanidae","AK; CA; US48"
"Pink-backed Pelican","Pelecanus rufescens","Uncertain origin","PELECANIFORMES","Pelecanidae","US48"
"Gray Partridge","Perdix perdix","Introduced species","GALLIFORMES","Phasianidae","CA; US48"
"Crimson-collared Grosbeak","Periporphyrus celaeno","Rare/Accidental","PASSERIFORMES","Cardinalidae","US48"
"Canada Jay","Perisoreus canadensis","","PASSERIFORMES","Corvidae","AK; CA; US48"
"Oriental Honey-buzzard","Pernis ptilorhynchus","Rare/Accidental","ACCIPITRIFORMES","Accipitridae","AK"
"Cave Swallow","Petrochelidon fulva","","PASSERIFORMES","Hirundinidae","CA; US48"
"Cliff Swallow","Petrochelidon pyrrhonota","","PASSERIFORMES","Hirundinidae","AK; CA; US48"
"Bachman's Sparrow","Peucaea aestivalis","Endemic Near-threatened","PASSERIFORMES","Passerellidae","CA; US48"
