common_name,scientific_name,status,order,family,region
Black-crowned Night Heron,Nycticorax nycticorax,,PELECANIFORMES,Ardeidae,TT
Capped Heron,Pilherodius pileatus,Rare/Accidental,PELECANIFORMES,Ardeidae,TT
Whistling Heron,Syrigma sibilatrix,Rare/Accidental,PELECANIFORMES,Ardeidae,TT
Little Blue Heron,Egretta caerulea,,PELECANIFORMES,Ardeidae,TT
Tricolored Heron,Egretta tricolor,,PELECANIFORMES,Ardeidae,TT
Reddish Egret,Egretta rufescens,Rare/Accidental Near-threatened,PELECANIFORMES,Ardeidae,TT
Snowy Egret,Egretta thula,,PELECANIFORMES,Ardeidae,TT
Little Egret,Egretta garzetta,,PELECANIFORMES,Ardeidae,TT
Western Reef-Heron,Egretta gularis,Rare/Accidental,PELECANIFORMES,Ardeidae,TT
Striated Heron,Butorides striata,,PELECANIFORMES,Ardeidae,TT
Green Heron,Butorides virescens,,PELECANIFORMES,Ardeidae,TT
Squacco Heron,Ardeola ralloides,Rare/Accidental,PELECANIFORMES,Ardeidae,TT
Western Cattle-Egret,Ardea ibis,,PELECANIFORMES,Ardeidae,TT
Great Egret,Ardea alba,,PELECANIFORMES,Ardeidae,TT
Gray Heron,Ardea cinerea,Rare/Accidental,PELECANIFORMES,Ardeidae,TT
Great Blue Heron,Ardea herodias,,PELECANIFORMES,Ardeidae,TT
Cocoi Heron,Ardea cocoi,,PELECANIFORMES,Ardeidae,TT
Purple Heron,Ardea purpurea,Rare/Accidental,PELECANIFORMES,Ardeidae,TT
King Vulture,Sarcoramphus papa,Rare/Accidental,CATHARTIFORMES,Cathartidae,TT
Black Vulture,Coragyps atratus,,CATHARTIFORMES,Cathartidae,TT
Turkey Vulture,Cathartes aura,,CATHARTIFORMES,Cathartidae,TT
Osprey,Pandion haliaetus,,ACCIPITRIFORMES,Pandionidae,TT
Pearl Kite,Gampsonyx swainsonii,,ACCIPITRIFORMES,Accipitridae,TT
White-tailed Kite,Elanus leucurus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
Hook-billed Kite,Chondrohierax uncinatus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
Gray-headed Kite,Leptodon cayanensis,,ACCIPITRIFORMES,Accipitridae,TT
Swallow-tailed Kite,Elanoides forficatus,,ACCIPITRIFORMES,Accipitridae,TT
Black Hawk-Eagle,Spizaetus tyrannus,,ACCIPITRIFORMES,Accipitridae,TT
Ornate Hawk-Eagle,Spizaetus ornatus,Near-threatened,ACCIPITRIFORMES,Accipitridae,TT
Long-winged Harrier,Circus buffoni,,ACCIPITRIFORMES,Accipitridae,TT
Double-toothed Kite,Harpagus bidentatus,,ACCIPITRIFORMES,Accipitridae,TT
Black Kite,Milvus migrans,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
Plumbeous Kite,Ictinia plumbea,,ACCIPITRIFORMES,Accipitridae,TT
Crane Hawk,Geranospiza caerulescens,,ACCIPITRIFORMES,Accipitridae,TT
Black-collared Hawk,Busarellus nigricollis,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
Snail Kite,Rostrhamus sociabilis,,ACCIPITRIFORMES,Accipitridae,TT
Slender-billed Kite,Helicolestes hamatus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
Common Black Hawk,Buteogallus anthracinus,,ACCIPITRIFORMES,Accipitridae,TT
Rufous Crab Hawk,Buteogallus aequinoctialis,Near-threatened,ACCIPITRIFORMES,Accipitridae,TT
Savanna Hawk,Buteogallus meridionalis,,ACCIPITRIFORMES,Accipitridae,TT
Great Black Hawk,Buteogallus urubitinga,,ACCIPITRIFORMES,Accipitridae,TT
Roadside Hawk,Rupornis magnirostris,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
White-tailed Hawk,Geranoaetus albicaudatus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
White Hawk,Pseudastur albicollis,,ACCIPITRIFORMES,Accipitridae,TT
Gray-lined Hawk,Buteo nitidus,,ACCIPITRIFORMES,Accipitridae,TT
Broad-winged Hawk,Buteo platypterus,,ACCIPITRIFORMES,Accipitridae,TT
Zone-tailed Hawk,Buteo albonotatus,,ACCIPITRIFORMES,Accipitridae,TT
Short-tailed Hawk,Buteo brachyurus,,ACCIPITRIFORMES,Accipitridae,TT
Swainson's Hawk,Buteo swainsoni,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
Red-tailed Hawk,Buteo jamaicensis,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,TT
American Barn Owl,Tyto furcata,,STRIGIFORMES,Tytonidae,TT
Tropical Screech-Owl,Megascops choliba,,STRIGIFORMES,Strigidae,TT
Spectacled Owl,Pulsatrix perspicillata,,STRIGIFORMES,Strigidae,TT
