scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Melanospiza bicolor,Black-faced Grassquit,Melanospiza bicolor,Black-faced Grassquit,PASSERIFORMES,Thraupidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nan; nea; OCE; PAC; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Black-faced Grassquit,Melanospiza bicolor,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Rare/Accidental,yes
Melanotis caerulescens,Blue Mockingbird,Melanotis caerulescens,Blue Mockingbird,PASSERIFORMES,Mimidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Blue Mockingbird,Melanotis caerulescens,NA,Mimidae (Mockingbirds and Thrashers),Passeriformes,yes,Rare/Accidental,yes
Melopyrrha violacea,Greater Antillean Bullfinch,Melopyrrha violacea,Greater Antillean Bullfinch,PASSERIFORMES,Thraupidae,NA,NA,Extirpated,NA,CAR; hol; NAM; nan; nea; US48,yes,NA,NA,NA,NA,NA,no,Greater Antillean Bullfinch,Melopyrrha violacea,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Extirpated,yes
Milvus migrans,Black Kite,Milvus migrans,Black Kite,ACCIPITRIFORMES,Accipitridae,Rare/Accidental,Uncertain origin,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; USak; UShi,yes,NA,NA,NA,NA,NA,no,Black Kite,Milvus migrans,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Uncertain origin; Rare/Accidental,yes
Mimus gilvus,Tropical Mockingbird,Mimus gilvus,Tropical Mockingbird,PASSERIFORMES,Mimidae,NA,NA,Rare/Accidental,NA,CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Tropical Mockingbird,Mimus gilvus,NA,Mimidae (Mockingbirds and Thrashers),Passeriformes,yes,Rare/Accidental,yes
Mitrephanes phaeocercus,Tufted Flycatcher,Mitrephanes phaeocercus,Tufted Flycatcher,PASSERIFORMES,Tyrannidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Tufted Flycatcher,Mitrephanes phaeocercus,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Monticola saxatilis,Rufous-tailed Rock-Thrush,Monticola saxatilis,Rufous-tailed Rock-Thrush,PASSERIFORMES,Muscicapidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Rufous-tailed Rock-Thrush,Monticola saxatilis,rocky regions of southern Palearctic region; winters to eastern Africa,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Monticola solitarius,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush,PASSERIFORMES,Muscicapidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; XX,yes,NA,NA,NA,NA,NA,no,Blue Rock-Thrush,Monticola solitarius,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Muscicapa dauurica,Asian Brown Flycatcher,Muscicapa dauurica,Asian Brown Flycatcher,PASSERIFORMES,Muscicapidae,NA,NA,NA,Rare/Accidental,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Asian Brown Flycatcher,Muscicapa dauurica,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Muscicapa griseisticta,Gray-streaked Flycatcher,Muscicapa griseisticta,Gray-streaked Flycatcher,PASSERIFORMES,Muscicapidae,NA,NA,NA,Rare/Accidental,ASI; AUS; hol; NAM; nea; OCE; PAC; pal; USak,yes,NA,NA,NA,NA,NA,no,Gray-streaked Flycatcher,Muscicapa griseisticta,southeastern Siberia to northeastern China; winters to New Guinea and Philippines,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Muscicapa sibirica,Dark-sided Flycatcher,Muscicapa sibirica,Dark-sided Flycatcher,PASSERIFORMES,Muscicapidae,Rare/Accidental,NA,NA,Rare/Accidental,ASI; AUS; CAR; EUR; hol; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Dark-sided Flycatcher,Muscicapa sibirica,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental,yes
