scientific_name_clements2024.combo,common_name_clements2024.combo,AOU_bbs2024.combo,scientific_name_clements2024,common_name_clements2024,scientific_name_bbs2024,AOU_bbs2024,in_bbs2024
Nannopterum auritum/brasilianum,Double-crested/Neotropic Cormorant,1205,Nannopterum auritum/brasilianum,Double-crested/Neotropic Cormorant,Nannopterum brasilianum / auritum,1205,yes
NA,NA,1206,NA,NA,Nannopterum auritus / carbo,1206,yes
Nannopterum brasilianum,Neotropic Cormorant,1210,Nannopterum brasilianum,Neotropic Cormorant,Nannopterum brasilianum,1210,yes
Nucifraga columbiana,Clark's Nutcracker,4910,Nucifraga columbiana,Clark's Nutcracker,Nucifraga columbiana,4910,yes
Numenius americanus,Long-billed Curlew,2640,Numenius americanus,Long-billed Curlew,Numenius americanus,2640,yes
Numenius phaeopus,Whimbrel,2650,Numenius phaeopus,Whimbrel,Numenius phaeopus,2650,yes
Numenius tahitiensis,Bristle-thighed Curlew,2680,Numenius tahitiensis,Bristle-thighed Curlew,Numenius tahitiensis,2680,yes
Nyctanassa violacea,Yellow-crowned Night Heron,2030,Nyctanassa violacea,Yellow-crowned Night Heron,Nyctanassa violacea,2030,yes
Nycticorax nycticorax,Black-crowned Night Heron,2020,Nycticorax nycticorax,Black-crowned Night Heron,Nycticorax nycticorax,2020,yes
Nycticorax nycticorax/Nyctanassa violacea,Yellow-crowned/Black-crowned Night Heron,2035,Nycticorax nycticorax/Nyctanassa violacea,Yellow-crowned/Black-crowned Night Heron,Nycticorax / Nyctanassa nycticorax / violacea,2035,yes
Nyctidromus albicollis,Common Pauraque,4190,Nyctidromus albicollis,Common Pauraque,Nyctidromus albicollis,4190,yes
Oenanthe oenanthe,Northern Wheatear,7650,Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe,7650,yes
Onychoprion aleuticus,Aleutian Tern,730,Onychoprion aleuticus,Aleutian Tern,Onychoprion aleuticus,730,yes
Onychoprion fuscatus,Sooty Tern,NA,Onychoprion fuscatus,Sooty Tern,NA,NA,no
Oporornis agilis,Connecticut Warbler,6780,Oporornis agilis,Connecticut Warbler,Oporornis agilis,6780,yes
Oreortyx pictus,Mountain Quail,2920,Oreortyx pictus,Mountain Quail,Oreortyx pictus,2920,yes
Oreoscoptes montanus,Sage Thrasher,7020,Oreoscoptes montanus,Sage Thrasher,Oreoscoptes montanus,7020,yes
Ortalis vetula,Plain Chachalaca,3110,Ortalis vetula,Plain Chachalaca,Ortalis vetula,3110,yes
Oxyura jamaicensis,Ruddy Duck,1670,Oxyura jamaicensis,Ruddy Duck,Oxyura jamaicensis,1670,yes
Pachyramphus aglaiae,Rose-throated Becard,4411,Pachyramphus aglaiae,Rose-throated Becard,Pachyramphus aglaiae,4411,yes
Pagophila eburnea,Ivory Gull,390,Pagophila eburnea,Ivory Gull,Pagophila eburnea,390,yes
Pandion haliaetus,Osprey,3640,Pandion haliaetus,Osprey,Pandion haliaetus,3640,yes
Parabuteo unicinctus,Harris's Hawk,3350,Parabuteo unicinctus,Harris's Hawk,Parabuteo unicinctus,3350,yes
Parkesia motacilla,Louisiana Waterthrush,6760,Parkesia motacilla,Louisiana Waterthrush,Parkesia motacilla,6760,yes
Parkesia noveboracensis,Northern Waterthrush,6750,Parkesia noveboracensis,Northern Waterthrush,Parkesia noveboracensis,6750,yes
Passer domesticus,House Sparrow,6882,Passer domesticus,House Sparrow,Passer domesticus,6882,yes
Passer montanus,Eurasian Tree Sparrow,6883,Passer montanus,Eurasian Tree Sparrow,Passer montanus,6883,yes
Passerculus sandwichensis,Savannah Sparrow,5420,Passerculus sandwichensis,Savannah Sparrow,Passerculus sandwichensis,5420,yes
Passerella iliaca,Fox Sparrow,5850,Passerella iliaca,Fox Sparrow,Passerella iliaca,5850,yes
Passerina amoena,Lazuli Bunting,5990,Passerina amoena,Lazuli Bunting,Passerina amoena,5990,yes
Passerina amoena x cyanea,Lazuli x Indigo Bunting (hybrid),5986,Passerina amoena x cyanea,Lazuli x Indigo Bunting (hybrid),Passerina amoena x cyanea,5986,yes
Passerina caerulea,Blue Grosbeak,5970,Passerina caerulea,Blue Grosbeak,Passerina caerulea,5970,yes
Passerina ciris,Painted Bunting,6010,Passerina ciris,Painted Bunting,Passerina ciris,6010,yes
Passerina cyanea,Indigo Bunting,5980,Passerina cyanea,Indigo Bunting,Passerina cyanea,5980,yes
Passerina versicolor,Varied Bunting,6000,Passerina versicolor,Varied Bunting,Passerina versicolor,6000,yes
Patagioenas fasciata,Band-tailed Pigeon,3120,Patagioenas fasciata,Band-tailed Pigeon,Patagioenas fasciata,3120,yes
Patagioenas flavirostris,Red-billed Pigeon,3130,Patagioenas flavirostris,Red-billed Pigeon,Patagioenas flavirostris,3130,yes
Patagioenas leucocephala,White-crowned Pigeon,3140,Patagioenas leucocephala,White-crowned Pigeon,Patagioenas leucocephala,3140,yes
Pavo cristatus,Indian Peafowl,3095,Pavo cristatus,Indian Peafowl,Pavo cristatus,3095,yes
Pelecanus erythrorhynchos,American White Pelican,1250,Pelecanus erythrorhynchos,American White Pelican,Pelecanus erythrorhynchos,1250,yes
Pelecanus occidentalis,Brown Pelican,1260,Pelecanus occidentalis,Brown Pelican,Pelecanus occidentalis,1260,yes
Perdix perdix,Gray Partridge,2881,Perdix perdix,Gray Partridge,Perdix perdix,2881,yes
Perisoreus canadensis,Canada Jay,4840,Perisoreus canadensis,Canada Jay,Perisoreus canadensis,4840,yes
Petrochelidon fulva,Cave Swallow,6121,Petrochelidon fulva,Cave Swallow,Petrochelidon fulva,6121,yes
Petrochelidon pyrrhonota,Cliff Swallow,6120,Petrochelidon pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota,6120,yes
Petrochelidon pyrrhonota/fulva,Cliff/Cave Swallow,6122,Petrochelidon pyrrhonota/fulva,Cliff/Cave Swallow,Petrochelidon pyrrhonota / fulva,6122,yes
Peucaea aestivalis,Bachman's Sparrow,5750,Peucaea aestivalis,Bachman's Sparrow,Peucaea aestivalis,5750,yes
Peucaea botterii,Botteri's Sparrow,5760,Peucaea botterii,Botteri's Sparrow,Peucaea botterii,5760,yes
Peucaea carpalis,Rufous-winged Sparrow,5790,Peucaea carpalis,Rufous-winged Sparrow,Peucaea carpalis,5790,yes
Peucaea cassinii,Cassin's Sparrow,5780,Peucaea cassinii,Cassin's Sparrow,Peucaea cassinii,5780,yes
Peucedramus taeniatus,Olive Warbler,6510,Peucedramus taeniatus,Olive Warbler,Peucedramus taeniatus,6510,yes
Phaethon aethereus,Red-billed Tropicbird,1130,Phaethon aethereus,Red-billed Tropicbird,Phaethon aethereus,1130,yes
Phainopepla nitens,Phainopepla,6200,Phainopepla nitens,Phainopepla,Phainopepla nitens,6200,yes
Phalacrocorax carbo,Great Cormorant,1190,Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo,1190,yes
Phalaenoptilus nuttallii,Common Poorwill,4180,Phalaenoptilus nuttallii,Common Poorwill,Phalaenoptilus nuttallii,4180,yes
Phalaropus fulicarius,Red Phalarope,2220,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,2220,yes
Phalaropus lobatus,Red-necked Phalarope,2230,Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,2230,yes
Phalaropus tricolor,Wilson's Phalarope,2240,Phalaropus tricolor,Wilson's Phalarope,Phalaropus tricolor,2240,yes
Phasianus colchicus,Ring-necked Pheasant,3091,Phasianus colchicus,Ring-necked Pheasant,Phasianus colchicus,3091,yes
Pheucticus ludovicianus,Rose-breasted Grosbeak,5950,Pheucticus ludovicianus,Rose-breasted Grosbeak,Pheucticus ludovicianus,5950,yes
Pheucticus melanocephalus,Black-headed Grosbeak,5960,Pheucticus melanocephalus,Black-headed Grosbeak,Pheucticus melanocephalus,5960,yes
Phylloscopus borealis,Arctic Warbler,7470,Phylloscopus borealis,Arctic Warbler,Phylloscopus borealis,7470,yes
Pica hudsonia,Black-billed Magpie,4750,Pica hudsonia,Black-billed Magpie,Pica hudsonia,4750,yes
Pica nuttalli,Yellow-billed Magpie,4760,Pica nuttalli,Yellow-billed Magpie,Pica nuttalli,4760,yes
Picidae sp.,woodpecker sp.,3920,Picidae sp.,woodpecker sp.,Woodpecker sp.,3920,yes
Picoides arcticus,Black-backed Woodpecker,4000,Picoides arcticus,Black-backed Woodpecker,Picoides arcticus,4000,yes
Picoides dorsalis,American Three-toed Woodpecker,4010,Picoides dorsalis,American Three-toed Woodpecker,Picoides dorsalis,4010,yes
Pinicola enucleator,Pine Grosbeak,5150,Pinicola enucleator,Pine Grosbeak,Pinicola enucleator,5150,yes
Pipilo chlorurus,Green-tailed Towhee,5900,Pipilo chlorurus,Green-tailed Towhee,Pipilo chlorurus,5900,yes
Pipilo erythrophthalmus,Eastern Towhee,5870,Pipilo erythrophthalmus,Eastern Towhee,Pipilo erythrophthalmus,5870,yes
Pipilo maculatus,Spotted Towhee,5880,Pipilo maculatus,Spotted Towhee,Pipilo maculatus,5880,yes
Pipilo maculatus/erythrophthalmus,Spotted/Eastern Towhee (Rufous-sided Towhee),5871,Pipilo maculatus/erythrophthalmus,Spotted/Eastern Towhee (Rufous-sided Towhee),Pipilo maculatus / erythrophthalmus,5871,yes
Piranga flava,Hepatic Tanager,6090,Piranga flava,Hepatic Tanager,Piranga flava,6090,yes
Piranga ludoviciana,Western Tanager,6070,Piranga ludoviciana,Western Tanager,Piranga ludoviciana,6070,yes
Piranga olivacea,Scarlet Tanager,6080,Piranga olivacea,Scarlet Tanager,Piranga olivacea,6080,yes
Piranga rubra,Summer Tanager,6100,Piranga rubra,Summer Tanager,Piranga rubra,6100,yes
Pitangus sulphuratus,Great Kiskadee,4490,Pitangus sulphuratus,Great Kiskadee,Pitangus sulphuratus,4490,yes
Platalea ajaja,Roseate Spoonbill,1830,Platalea ajaja,Roseate Spoonbill,Platalea ajaja,1830,yes
Plectrophenax hyperboreus,McKay's Bunting,NA,Plectrophenax hyperboreus,McKay's Bunting,NA,NA,no
Plectrophenax nivalis,Snow Bunting,5340,Plectrophenax nivalis,Snow Bunting,Plectrophenax nivalis,5340,yes
Plegadis chihi,White-faced Ibis,1870,Plegadis chihi,White-faced Ibis,Plegadis chihi,1870,yes
Plegadis falcinellus,Glossy Ibis,1860,Plegadis falcinellus,Glossy Ibis,Plegadis falcinellus,1860,yes
Plegadis falcinellus/chihi,Glossy/White-faced Ibis,1861,Plegadis falcinellus/chihi,Glossy/White-faced Ibis,Plegadis falcinellus / chihi,1861,yes
Pluvialis dominica,American Golden-Plover,2720,Pluvialis dominica,American Golden-Plover,Pluvialis dominica,2720,yes
Pluvialis fulva,Pacific Golden-Plover,2721,Pluvialis fulva,Pacific Golden-Plover,Pluvialis fulva,2721,yes
Pluvialis squatarola,Black-bellied Plover,2700,Pluvialis squatarola,Black-bellied Plover,Pluvialis squatarola,2700,yes
Podiceps auritus,Horned Grebe,30,Podiceps auritus,Horned Grebe,Podiceps auritus,30,yes
Podiceps grisegena,Red-necked Grebe,20,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,20,yes
Podiceps nigricollis,Eared Grebe,40,Podiceps nigricollis,Eared Grebe,Podiceps nigricollis,40,yes
Podilymbus podiceps,Pied-billed Grebe,60,Podilymbus podiceps,Pied-billed Grebe,Podilymbus podiceps,60,yes
Poecile atricapillus,Black-capped Chickadee,7350,Poecile atricapillus,Black-capped Chickadee,Poecile atricapillus,7350,yes
Poecile atricapillus/gambeli,Black-capped/Mountain Chickadee,7353,Poecile atricapillus/gambeli,Black-capped/Mountain Chickadee,Poecile atricapillus / gambeli,7353,yes
NA,NA,7354,NA,NA,Poecile atricapillus / hudsonicus,7354,yes
Poecile carolinensis,Carolina Chickadee,7360,Poecile carolinensis,Carolina Chickadee,Poecile carolinensis,7360,yes
Poecile carolinensis/atricapillus,Carolina/Black-capped Chickadee,7352,Poecile carolinensis/atricapillus,Carolina/Black-capped Chickadee,Poecile carolinensis / atricapillus,7352,yes
Poecile cinctus,Gray-headed Chickadee,NA,Poecile cinctus,Gray-headed Chickadee,NA,NA,no
Poecile gambeli,Mountain Chickadee,7380,Poecile gambeli,Mountain Chickadee,Poecile gambeli,7380,yes
Poecile hudsonicus,Boreal Chickadee,7400,Poecile hudsonicus,Boreal Chickadee,Poecile hudsonicus,7400,yes
Poecile rufescens,Chestnut-backed Chickadee,7410,Poecile rufescens,Chestnut-backed Chickadee,Poecile rufescens,7410,yes
Poecile sclateri,Mexican Chickadee,7370,Poecile sclateri,Mexican Chickadee,Poecile sclateri,7370,yes
Poecile sp.,chickadee sp.,7351,Poecile sp.,chickadee sp.,Poecile sp.,7351,yes
Polioptila caerulea,Blue-gray Gnatcatcher,7510,Polioptila caerulea,Blue-gray Gnatcatcher,Polioptila caerulea,7510,yes
NA,NA,7539,NA,NA,Polioptila caerulea / melanura,7539,yes
Polioptila californica,California Gnatcatcher,7530,Polioptila californica,California Gnatcatcher,Polioptila californica,7530,yes
Polioptila melanura,Black-tailed Gnatcatcher,7520,Polioptila melanura,Black-tailed Gnatcatcher,Polioptila melanura,7520,yes
Polysticta stelleri,Steller's Eider,1570,Polysticta stelleri,Steller's Eider,Polysticta stelleri,1570,yes
Pooecetes gramineus,Vesper Sparrow,5400,Pooecetes gramineus,Vesper Sparrow,Pooecetes gramineus,5400,yes
Porphyrio martinica,Purple Gallinule,2180,Porphyrio martinica,Purple Gallinule,Porphyrio martinicus,2180,yes
Porphyrio porphyrio,Western Swamphen,21930,Porphyrio porphyrio,Western Swamphen,Porphyrio porphyrio,21930,yes
Porzana carolina,Sora,2140,Porzana carolina,Sora,Porzana carolina,2140,yes
Progne subis,Purple Martin,6110,Progne subis,Purple Martin,Progne subis,6110,yes
Protonotaria citrea,Prothonotary Warbler,6370,Protonotaria citrea,Prothonotary Warbler,Protonotaria citrea,6370,yes
Psaltriparus minimus,Bushtit,7430,Psaltriparus minimus,Bushtit,Psaltriparus minimus,7430,yes
Psiloscops flammeolus,Flammulated Owl,3740,Psiloscops flammeolus,Flammulated Owl,Psiloscops flammeolus,3740,yes
Psittacara holochlorus,Green Parakeet,NA,Psittacara holochlorus,Green Parakeet,NA,NA,no
Psittacula krameri,Rose-ringed Parakeet,3823,Psittacula krameri,Rose-ringed Parakeet,Psittacula krameri,3823,yes
Ptychoramphus aleuticus,Cassin's Auklet,160,Ptychoramphus aleuticus,Cassin's Auklet,Ptychoramphus aleuticus,160,yes
Puffinus opisthomelas,Black-vented Shearwater,NA,Puffinus opisthomelas,Black-vented Shearwater,NA,NA,no
Puffinus puffinus,Manx Shearwater,900,Puffinus puffinus,Manx Shearwater,Puffinus puffinus,900,yes
Pyrocephalus rubinus,Vermilion Flycatcher,4710,Pyrocephalus rubinus,Vermilion Flycatcher,Pyrocephalus rubinus,4710,yes
Quiscalus major,Boat-tailed Grackle,5130,Quiscalus major,Boat-tailed Grackle,Quiscalus major,5130,yes
Quiscalus major/mexicanus,Boat-tailed/Great-tailed Grackle,5135,Quiscalus major/mexicanus,Boat-tailed/Great-tailed Grackle,Quiscalus major / mexicanus,5135,yes
Quiscalus mexicanus,Great-tailed Grackle,5120,Quiscalus mexicanus,Great-tailed Grackle,Quiscalus mexicanus,5120,yes
Quiscalus quiscula,Common Grackle,5110,Quiscalus quiscula,Common Grackle,Quiscalus quiscula,5110,yes
Rallus crepitans,Clapper Rail,2110,Rallus crepitans,Clapper Rail,Rallus crepitans,2110,yes
Rallus elegans,King Rail,2080,Rallus elegans,King Rail,Rallus elegans,2080,yes
Rallus elegans/crepitans,King/Clapper Rail,2090,Rallus elegans/crepitans,King/Clapper Rail,Rallus crepitans / elegans,2090,yes
Rallus limicola,Virginia Rail,2120,Rallus limicola,Virginia Rail,Rallus limicola,2120,yes
Rallus obsoletus,Ridgway's Rail,2111,Rallus obsoletus,Ridgway's Rail,Rallus obsoletus,2111,yes
Ramosomyia violiceps,Violet-crowned Hummingbird,4391,Ramosomyia violiceps,Violet-crowned Hummingbird,Ramosomyia violiceps,4391,yes
Recurvirostra americana,American Avocet,2250,Recurvirostra americana,American Avocet,Recurvirostra americana,2250,yes
Regulus satrapa,Golden-crowned Kinglet,7480,Regulus satrapa,Golden-crowned Kinglet,Regulus satrapa,7480,yes
Rhodostethia rosea,Ross's Gull,610,Rhodostethia rosea,Ross's Gull,Rhodostethia rosea,610,yes
Rhynchophanes mccownii,Thick-billed Longspur,5390,Rhynchophanes mccownii,Thick-billed Longspur,Rhynchophanes mccownii,5390,yes
Riparia riparia,Bank Swallow,6160,Riparia riparia,Bank Swallow,Riparia riparia,6160,yes
Rissa brevirostris,Red-legged Kittiwake,NA,Rissa brevirostris,Red-legged Kittiwake,NA,NA,no
Rissa tridactyla,Black-legged Kittiwake,400,Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla,400,yes
Rostrhamus sociabilis,Snail Kite,3300,Rostrhamus sociabilis,Snail Kite,Rostrhamus sociabilis,3300,yes
Rynchops niger,Black Skimmer,800,Rynchops niger,Black Skimmer,Rynchops niger,800,yes
Salpinctes obsoletus,Rock Wren,7150,Salpinctes obsoletus,Rock Wren,Salpinctes obsoletus,7150,yes
Sayornis nigricans,Black Phoebe,4580,Sayornis nigricans,Black Phoebe,Sayornis nigricans,4580,yes
Sayornis phoebe,Eastern Phoebe,4560,Sayornis phoebe,Eastern Phoebe,Sayornis phoebe,4560,yes
Sayornis saya,Say's Phoebe,4570,Sayornis saya,Say's Phoebe,Sayornis saya,4570,yes
Scolopax minor,American Woodcock,2280,Scolopax minor,American Woodcock,Scolopax minor,2280,yes
Seiurus aurocapilla,Ovenbird,6740,Seiurus aurocapilla,Ovenbird,Seiurus aurocapilla,6740,yes
Selasphorus calliope,Calliope Hummingbird,4360,Selasphorus calliope,Calliope Hummingbird,Selasphorus calliope,4360,yes
Selasphorus platycercus,Broad-tailed Hummingbird,4320,Selasphorus platycercus,Broad-tailed Hummingbird,Selasphorus platycercus,4320,yes
Selasphorus rufus,Rufous Hummingbird,4330,Selasphorus rufus,Rufous Hummingbird,Selasphorus rufus,4330,yes
Selasphorus rufus/sasin,Rufous/Allen's Hummingbird,4335,Selasphorus rufus/sasin,Rufous/Allen's Hummingbird,Selasphorus rufus / sasin,4335,yes
Selasphorus sasin,Allen's Hummingbird,4340,Selasphorus sasin,Allen's Hummingbird,Selasphorus sasin,4340,yes
Setophaga americana,Northern Parula,6480,Setophaga americana,Northern Parula,Setophaga americana,6480,yes
Setophaga caerulescens,Black-throated Blue Warbler,6540,Setophaga caerulescens,Black-throated Blue Warbler,Setophaga caerulescens,6540,yes
Setophaga castanea,Bay-breasted Warbler,6600,Setophaga castanea,Bay-breasted Warbler,Setophaga castanea,6600,yes
Setophaga cerulea,Cerulean Warbler,6580,Setophaga cerulea,Cerulean Warbler,Setophaga cerulea,6580,yes
Setophaga chrysoparia,Golden-cheeked Warbler,6660,Setophaga chrysoparia,Golden-cheeked Warbler,Setophaga chrysoparia,6660,yes
Setophaga citrina,Hooded Warbler,6840,Setophaga citrina,Hooded Warbler,Setophaga citrina,6840,yes
Setophaga coronata,Yellow-rumped Warbler,36550,Setophaga coronata,Yellow-rumped Warbler,Setophaga coronata,6556,yes
Setophaga coronata,Yellow-rumped Warbler,36550,Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),Setophaga coronata audoboni,6560,yes
Setophaga coronata,Yellow-rumped Warbler,36550,Setophaga coronata coronata,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,6550,yes
Setophaga discolor,Prairie Warbler,6730,Setophaga discolor,Prairie Warbler,Setophaga discolor,6730,yes
Setophaga dominica,Yellow-throated Warbler,6630,Setophaga dominica,Yellow-throated Warbler,Setophaga dominica,6630,yes
Setophaga fusca,Blackburnian Warbler,6620,Setophaga fusca,Blackburnian Warbler,Setophaga fusca,6620,yes
Setophaga graciae,Grace's Warbler,6640,Setophaga graciae,Grace's Warbler,Setophaga graciae,6640,yes
Setophaga kirtlandii,Kirtland's Warbler,6700,Setophaga kirtlandii,Kirtland's Warbler,Setophaga kirtlandii,6700,yes
Setophaga magnolia,Magnolia Warbler,6570,Setophaga magnolia,Magnolia Warbler,Setophaga magnolia,6570,yes
Setophaga nigrescens,Black-throated Gray Warbler,6650,Setophaga nigrescens,Black-throated Gray Warbler,Setophaga nigrescens,6650,yes
Setophaga occidentalis,Hermit Warbler,6690,Setophaga occidentalis,Hermit Warbler,Setophaga occidentalis,6690,yes
Setophaga palmarum,Palm Warbler,6720,Setophaga palmarum,Palm Warbler,Setophaga palmarum,6720,yes
Setophaga pensylvanica,Chestnut-sided Warbler,6590,Setophaga pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica,6590,yes
Setophaga petechia,Yellow Warbler,6520,Setophaga petechia,Yellow Warbler,Setophaga petechia,6520,yes
Setophaga pinus,Pine Warbler,6710,Setophaga pinus,Pine Warbler,Setophaga pinus,6710,yes
Setophaga pitiayumi,Tropical Parula,6490,Setophaga pitiayumi,Tropical Parula,Setophaga pitiayumi,6490,yes
Setophaga ruticilla,American Redstart,6870,Setophaga ruticilla,American Redstart,Setophaga ruticilla,6870,yes
Setophaga striata,Blackpoll Warbler,6610,Setophaga striata,Blackpoll Warbler,Setophaga striata,6610,yes
Setophaga tigrina,Cape May Warbler,6500,Setophaga tigrina,Cape May Warbler,Setophaga tigrina,6500,yes
Setophaga townsendi,Townsend's Warbler,6680,Setophaga townsendi,Townsend's Warbler,Setophaga townsendi,6680,yes
Setophaga townsendi x occidentalis,Townsend's x Hermit Warbler (hybrid),6686,Setophaga townsendi x occidentalis,Townsend's x Hermit Warbler (hybrid),Setophaga townsendi x occidentalis,6686,yes
Setophaga townsendi/occidentalis,Townsend's/Hermit Warbler,6685,Setophaga townsendi/occidentalis,Townsend's/Hermit Warbler,Setophaga townsendi / occidentalis,6685,yes
Setophaga virens,Black-throated Green Warbler,6670,Setophaga virens,Black-throated Green Warbler,Setophaga virens,6670,yes
Sialia currucoides,Mountain Bluebird,7680,Sialia currucoides,Mountain Bluebird,Sialia currucoides,7680,yes
Sialia mexicana,Western Bluebird,7670,Sialia mexicana,Western Bluebird,Sialia mexicana,7670,yes
Sialia sialis,Eastern Bluebird,7660,Sialia sialis,Eastern Bluebird,Sialia sialis,7660,yes
Sitta canadensis,Red-breasted Nuthatch,7280,Sitta canadensis,Red-breasted Nuthatch,Sitta canadensis,7280,yes
Sitta carolinensis,White-breasted Nuthatch,7270,Sitta carolinensis,White-breasted Nuthatch,Sitta carolinensis,7270,yes
Sitta pusilla,Brown-headed Nuthatch,7290,Sitta pusilla,Brown-headed Nuthatch,Sitta pusilla,7290,yes
Sitta pygmaea,Pygmy Nuthatch,7300,Sitta pygmaea,Pygmy Nuthatch,Sitta pygmaea,7300,yes
Somateria fischeri,Spectacled Eider,1580,Somateria fischeri,Spectacled Eider,Somateria fischeri,1580,yes
Somateria mollissima,Common Eider,1590,Somateria mollissima,Common Eider,Somateria mollissima,1590,yes
Somateria spectabilis,King Eider,1620,Somateria spectabilis,King Eider,Somateria spectabilis,1620,yes
Spatula clypeata,Northern Shoveler,1420,Spatula clypeata,Northern Shoveler,Spatula clypeata,1420,yes
Spatula cyanoptera,Cinnamon Teal,1410,Spatula cyanoptera,Cinnamon Teal,Spatula cyanoptera,1410,yes
Spatula discors,Blue-winged Teal,1400,Spatula discors,Blue-winged Teal,Spatula discors,1400,yes
Sphyrapicus nuchalis,Red-naped Sapsucker,4021,Sphyrapicus nuchalis,Red-naped Sapsucker,Sphyrapicus nuchalis,4021,yes
Sphyrapicus ruber,Red-breasted Sapsucker,4030,Sphyrapicus ruber,Red-breasted Sapsucker,Sphyrapicus ruber,4030,yes
Sphyrapicus sp.,sapsucker sp.,4022,Sphyrapicus sp.,sapsucker sp.,Sphyrapicus sp.,4022,yes
Sphyrapicus thyroideus,Williamson's Sapsucker,4040,Sphyrapicus thyroideus,Williamson's Sapsucker,Sphyrapicus thyroideus,4040,yes
Sphyrapicus varius,Yellow-bellied Sapsucker,4020,Sphyrapicus varius,Yellow-bellied Sapsucker,Sphyrapicus varius,4020,yes
Spilopelia chinensis,Spotted Dove,3151,Spilopelia chinensis,Spotted Dove,Streptopelia chinensis,3151,yes
Spinus lawrencei,Lawrence's Goldfinch,5310,Spinus lawrencei,Lawrence's Goldfinch,Spinus lawrencei,5310,yes
Spinus pinus,Pine Siskin,5330,Spinus pinus,Pine Siskin,Spinus pinus,5330,yes
Spinus psaltria,Lesser Goldfinch,5300,Spinus psaltria,Lesser Goldfinch,Spinus psaltria,5300,yes
Spinus tristis,American Goldfinch,5290,Spinus tristis,American Goldfinch,Spinus tristis,5290,yes
Spiza americana,Dickcissel,6040,Spiza americana,Dickcissel,Spiza americana,6040,yes
Spizella atrogularis,Black-chinned Sparrow,5650,Spizella atrogularis,Black-chinned Sparrow,Spizella atrogularis,5650,yes
Spizella breweri,Brewer's Sparrow,5620,Spizella breweri,Brewer's Sparrow,Spizella breweri,5620,yes
Spizella pallida,Clay-colored Sparrow,5610,Spizella pallida,Clay-colored Sparrow,Spizella pallida,5610,yes
Spizella passerina,Chipping Sparrow,5600,Spizella passerina,Chipping Sparrow,Spizella passerina,5600,yes
Spizella pusilla,Field Sparrow,5630,Spizella pusilla,Field Sparrow,Spizella pusilla,5630,yes
Spizelloides arborea,American Tree Sparrow,5590,Spizelloides arborea,American Tree Sparrow,Spizelloides arborea,5590,yes
Stelgidopteryx serripennis,Northern Rough-winged Swallow,6170,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Stelgidopteryx serripennis,6170,yes
Stercorarius longicaudus,Long-tailed Jaeger,380,Stercorarius longicaudus,Long-tailed Jaeger,Stercorarius longicaudus,380,yes
Stercorarius parasiticus,Parasitic Jaeger,370,Stercorarius parasiticus,Parasitic Jaeger,Stercorarius parasiticus,370,yes
Stercorarius pomarinus,Pomarine Jaeger,360,Stercorarius pomarinus,Pomarine Jaeger,Stercorarius pomarinus,360,yes
Sterna dougallii,Roseate Tern,720,Sterna dougallii,Roseate Tern,Sterna dougallii,720,yes
Sterna forsteri,Forster's Tern,690,Sterna forsteri,Forster's Tern,Sterna forsteri,690,yes
Sterna hirundo,Common Tern,700,Sterna hirundo,Common Tern,Sterna hirundo,700,yes
Sterna paradisaea,Arctic Tern,710,Sterna paradisaea,Arctic Tern,Sterna paradisaea,710,yes
Sterninae sp.,tern sp.,634,Sterninae sp.,tern sp.,Tern sp.,634,yes
Sternula antillarum,Least Tern,740,Sternula antillarum,Least Tern,Sternula antillarum,740,yes
Streptopelia decaocto,Eurasian Collared-Dove,22860,Streptopelia decaocto,Eurasian Collared-Dove,Streptopelia decaocto,22860,yes
Streptopelia roseogrisea,African Collared-Dove,3152,Streptopelia roseogrisea,African Collared-Dove,Streptopelia roseogrisea,3152,yes
Strix nebulosa,Great Gray Owl,3700,Strix nebulosa,Great Gray Owl,Strix nebulosa,3700,yes
Strix occidentalis,Spotted Owl,3690,Strix occidentalis,Spotted Owl,Strix occidentalis,3690,yes
Strix varia,Barred Owl,3680,Strix varia,Barred Owl,Strix varia,3680,yes
Sturnella lilianae,Chihuahuan Meadowlark,5009,Sturnella lilianae,Chihuahuan Meadowlark,Sturnella lilianae,5009,yes
Sturnella magna,Eastern Meadowlark,5010,Sturnella magna,Eastern Meadowlark,Sturnella magna,5010,yes
Sturnella neglecta,Western Meadowlark,5011,Sturnella neglecta,Western Meadowlark,Sturnella neglecta,5011,yes
Sturnella sp.,Sturnella meadowlark sp.,5012,Sturnella sp.,Sturnella meadowlark sp.,Sturnella sp.,5012,yes
Sturnus vulgaris,European Starling,4930,Sturnus vulgaris,European Starling,Sturnus vulgaris,4930,yes
Sula dactylatra,Masked Booby,1140,Sula dactylatra,Masked Booby,Sula dactylatra,1140,yes
