scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_CA_avibase8.17,status_NAM_avibase8.17,status_NaN_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data,AOU_bbs2024.combo,scientific_name_clements2024.combo,common_name_clements2024.combo
Icterus gularis,Altamira Oriole,Icterus gularis,Altamira Oriole,PASSERIFORMES,Icteridae,NA,NA,NA,NA,NA,CAM; CAR; hol; NAM; nea; US48,yes,5031,Altamira Oriole,Passeriformes,Icteridae,Icterus gularis,yes,Altamira Oriole,Icterus gularis,NA,Icteridae (Troupials and Allies),Passeriformes,yes,NA,yes,5031,Icterus gularis,Altamira Oriole
Icterus parisorum,Scott's Oriole,Icterus parisorum,Scott's Oriole,PASSERIFORMES,Icteridae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,5040,Scott's Oriole,Passeriformes,Icteridae,Icterus parisorum,yes,Scott's Oriole,Icterus parisorum,arid southwestern USA to southern Mexico,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes,5040,Icterus parisorum,Scott's Oriole
Icterus pectoralis,Spot-breasted Oriole,Icterus pectoralis,Spot-breasted Oriole,PASSERIFORMES,Icteridae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,5032,Spot-breasted Oriole,Passeriformes,Icteridae,Icterus pectoralis,yes,Spot-breasted Oriole,Icterus pectoralis,NA,Icteridae (Troupials and Allies),Passeriformes,yes,NA,yes,5032,Icterus pectoralis,Spot-breasted Oriole
Icterus spurius,Orchard Oriole,Icterus spurius,Orchard Oriole,PASSERIFORMES,Icteridae,NA,NA,Rare/Accidental,NA,Rare/Accidental,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48; USak,yes,5060,Orchard Oriole,Passeriformes,Icteridae,Icterus spurius,yes,Orchard Oriole,Icterus spurius,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes,5060,Icterus spurius,Orchard Oriole
Ictinia mississippiensis,Mississippi Kite,Ictinia mississippiensis,Mississippi Kite,ACCIPITRIFORMES,Accipitridae,Rare/Accidental,NA,NA,Breeding endemic,Rare/Accidental,CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak,yes,3290,Mississippi Kite,Accipitriformes,Accipitridae,Ictinia mississippiensis,yes,Mississippi Kite,Ictinia mississippiensis,southern USA (Arizona to Florida); winters in South America,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental; Breeding endemic; Rare/Accidental,yes,3290,Ictinia mississippiensis,Mississippi Kite
Ixoreus naevius,Varied Thrush,Ixoreus naevius,Varied Thrush,PASSERIFORMES,Turdidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,7630,Varied Thrush,Passeriformes,Turdidae,Ixoreus naevius,yes,Varied Thrush,Ixoreus naevius,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,NA,yes,7630,Ixoreus naevius,Varied Thrush
Junco hyemalis,Dark-eyed Junco; (unid. race) Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,5677,(unid. race) Dark-eyed Junco,Passeriformes,Passerellidae,Junco hyemalis,yes,Dark-eyed Junco,Junco hyemalis,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,35670,Junco hyemalis,Dark-eyed Junco
Junco hyemalis aikeni,Dark-eyed Junco (White-winged); (White-winged Junco) Dark-eyed Junco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5660,(White-winged Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco hyemalis aikeni,yes,Dark-eyed Junco (White-winged),Junco hyemalis aikeni,"southeastern Montana to western South Dakota, northeastern Wyoming, and northwestern Nebraska",Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,35670,Junco hyemalis,Dark-eyed Junco
Junco hyemalis caniceps,Dark-eyed Junco (Gray-headed); (Gray-headed Junco) Dark-eyed Junco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5690,(Gray-headed Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco hyemalis caniceps,yes,Dark-eyed Junco (Gray-headed),Junco hyemalis caniceps,"western USA; breeds in mountains from southern Idaho eastward to Wyoming, southward to southeastern California, eastern Nevada, and northern Arizona and New Mexico; winters from Utah and Colorado southward to northern Mexico and eastward to southwestern Texas",Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,35670,Junco hyemalis,Dark-eyed Junco
Junco hyemalis hyemalis,(Slate-colored Junco) Dark-eyed Junco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5670,(Slate-colored Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco hyemalis hyemalis,yes,NA,Junco hyemalis hyemalis,northern Alaska and Yukon to north-central USA; winters to northern Mexico,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,35670,Junco hyemalis,Dark-eyed Junco
Junco hyemalis mearnsi,Dark-eyed Junco (Pink-sided); (Pink-sided Junco) Dark-eyed Junco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5680,(Pink-sided Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco hyemalis mearnsi,yes,Dark-eyed Junco (Pink-sided),Junco hyemalis mearnsi,"southeastern Alberta, southwestern Saskatchewan to eastern Idaho, Montana, and northeastern Wyoming",Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,35670,Junco hyemalis,Dark-eyed Junco
Junco hyemalis oreganus,(Oregon Junco) Dark-eyed Junco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5671,(Oregon Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco hyemalis oreganus,yes,NA,Junco hyemalis oreganus,coastal southeastern Alaska to central British Columbia; winters to central California,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,35670,Junco hyemalis,Dark-eyed Junco
Junco phaeonotus,Yellow-eyed Junco,Junco phaeonotus,Yellow-eyed Junco,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,5700,Yellow-eyed Junco,Passeriformes,Passerellidae,Junco phaeonotus,yes,Yellow-eyed Junco,Junco phaeonotus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5700,Junco phaeonotus,Yellow-eyed Junco
Lagopus lagopus,Willow Ptarmigan,Lagopus lagopus,Willow Ptarmigan,GALLIFORMES,Phasianidae,NA,NA,NA,Rare/Accidental,NA,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus lagopus,yes,Willow Ptarmigan,Lagopus lagopus,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Rare/Accidental,yes,3010,Lagopus lagopus,Willow Ptarmigan
Lagopus leucura,White-tailed Ptarmigan,Lagopus leucura,White-tailed Ptarmigan,GALLIFORMES,Phasianidae,NA,NA,NA,NA,NA,CA; hol; NAM; nea; US48; USak,yes,3040,White-tailed Ptarmigan,Galliformes,Phasianidae,Lagopus leucura,yes,White-tailed Ptarmigan,Lagopus leucura,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,NA,yes,3040,Lagopus leucura,White-tailed Ptarmigan
Lagopus muta,Rock Ptarmigan,Lagopus muta,Rock Ptarmigan,GALLIFORMES,Phasianidae,NA,NA,NA,NA,NA,AFR; ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,3020,Rock Ptarmigan,Galliformes,Phasianidae,Lagopus muta,yes,Rock Ptarmigan,Lagopus muta,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,NA,yes,3020,Lagopus muta,Rock Ptarmigan
Lampornis clemenciae,Blue-throated Mountain-gem,Lampornis clemenciae,Blue-throated Mountain-gem,APODIFORMES,Trochilidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,4270,Blue-throated Mountain-gem,Apodiformes,Trochilidae,Lampornis clemenciae,yes,Blue-throated Mountain-gem,Lampornis clemenciae,NA,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4270,Lampornis clemenciae,Blue-throated Mountain-gem
Lanius borealis,Northern Shrike,Lanius borealis,Northern Shrike,PASSERIFORMES,Laniidae,NA,NA,NA,NA,NA,ASI; CA; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,6210,Northern Shrike,Passeriformes,Laniidae,Lanius borealis,yes,Northern Shrike,Lanius borealis,NA,Laniidae (Shrikes),Passeriformes,yes,NA,yes,6210,Lanius borealis,Northern Shrike
Lanius ludovicianus,Loggerhead Shrike,Lanius ludovicianus,Loggerhead Shrike,PASSERIFORMES,Laniidae,Near-threatened,Near-threatened,NA,Near-threatened,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,6220,Loggerhead Shrike,Passeriformes,Laniidae,Lanius ludovicianus,yes,Loggerhead Shrike,Lanius ludovicianus,NA,Laniidae (Shrikes),Passeriformes,yes,Near-threatened; Near-threatened,yes,6220,Lanius ludovicianus,Loggerhead Shrike
Larinae sp.; Gull sp.,gull sp.; unid. gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,534,unid. gull,Charadriiformes,Laridae,Gull sp.,yes,gull sp.,Larinae sp.,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,yes,534,Larinae sp.,gull sp.
Larus argentatus,European Herring Gull; Herring Gull,Larus argentatus,European Herring Gull,CHARADRIIFORMES,Laridae,Rare/Accidental,Rare/Accidental,NA,Rare/Accidental,NA,AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; pal; US48,yes,510,Herring Gull,Charadriiformes,Laridae,Larus argentatus,yes,European Herring Gull,Larus argentatus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes,510,Larus argentatus,European Herring Gull
Larus brachyrhynchus,Short-billed Gull,Larus brachyrhynchus,Short-billed Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; EUR; hol; NAM; nea; pal; US48; USak; UShi,yes,550,Short-billed Gull,Charadriiformes,Laridae,Larus brachyrhynchus,yes,Short-billed Gull,Larus brachyrhynchus,Alaska to British Columbia and Saskatchewan; winters to California,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,yes,550,Larus brachyrhynchus,Short-billed Gull
Larus californicus,California Gull,Larus californicus,California Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; hol; NAM; nea; OCE; PAC; SAM; US48; USak; UShi; XX,yes,530,California Gull,Charadriiformes,Laridae,Larus californicus,yes,California Gull,Larus californicus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,yes,530,Larus californicus,California Gull
Larus delawarensis,Ring-billed Gull,Larus delawarensis,Ring-billed Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,540,Ring-billed Gull,Charadriiformes,Laridae,Larus delawarensis,yes,Ring-billed Gull,Larus delawarensis,"North America; winters to southern Mexico, Bahamas, and Greater Antilles","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,540,Larus delawarensis,Ring-billed Gull
Larus fuscus,Lesser Black-backed Gull,Larus fuscus,Lesser Black-backed Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,500,Lesser Black-backed Gull,Charadriiformes,Laridae,Larus fuscus,yes,Lesser Black-backed Gull,Larus fuscus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,500,Larus fuscus,Lesser Black-backed Gull
Larus glaucescens,Glaucous-winged Gull,Larus glaucescens,Glaucous-winged Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,440,Glaucous-winged Gull,Charadriiformes,Laridae,Larus glaucescens,yes,Glaucous-winged Gull,Larus glaucescens,Bering Sea to northwestern Oregon; winters to Japan and northwestern Mexico,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,yes,440,Larus glaucescens,Glaucous-winged Gull
Larus glaucoides,Iceland Gull,Larus glaucoides,Iceland Gull,CHARADRIIFORMES,Laridae,Breeding endemic,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; XX,yes,430,Iceland Gull,Charadriiformes,Laridae,Larus glaucoides,yes,Iceland Gull,Larus glaucoides,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Breeding endemic,yes,430,Larus glaucoides,Iceland Gull
Larus heermanni,Heermann's Gull,Larus heermanni,Heermann's Gull,CHARADRIIFORMES,Laridae,Near-threatened,Near-threatened,NA,Near-threatened,Rare/Accidental Near-threatened,CA; CAM; hol; NAM; nea; US48; USak,yes,570,Heermann's Gull,Charadriiformes,Laridae,Larus heermanni,yes,Heermann's Gull,Larus heermanni,coastal western Mexico; winters British Columbia to Guatemala,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Near-threatened; Near-threatened; Rare/Accidental Near-threatened,yes,570,Larus heermanni,Heermann's Gull
Larus hyperboreus,Glaucous Gull,Larus hyperboreus,Glaucous Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,420,Glaucous Gull,Charadriiformes,Laridae,Larus hyperboreus,yes,Glaucous Gull,Larus hyperboreus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,yes,420,Larus hyperboreus,Glaucous Gull
Larus marinus,Great Black-backed Gull,Larus marinus,Great Black-backed Gull,CHARADRIIFORMES,Laridae,NA,NA,Rare/Accidental,NA,Rare/Accidental,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; TT; US48; USak; XX,yes,470,Great Black-backed Gull,Charadriiformes,Laridae,Larus marinus,yes,Great Black-backed Gull,Larus marinus,Palearctic and northeastern North America; winters to West Indies and Iberian Peninsula,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,470,Larus marinus,Great Black-backed Gull
Larus occidentalis,Western Gull,Larus occidentalis,Western Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,Rare/Accidental,ASI; CA; CAM; hol; NAM; nea; OCE; PAC; US48; USak; UShi; XX,yes,490,Western Gull,Charadriiformes,Laridae,Larus occidentalis,yes,Western Gull,Larus occidentalis,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,490,Larus occidentalis,Western Gull
Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid); hybrid Western Gull x Glaucous-winged Gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,495,hybrid Western Gull x Glaucous-winged Gull,Charadriiformes,Laridae,Larus occidentalis x glaucescens,yes,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,yes,495,Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid)
Larus schistisagus,Slaty-backed Gull,Larus schistisagus,Slaty-backed Gull,CHARADRIIFORMES,Laridae,Rare/Accidental,NA,NA,Rare/Accidental,NA,ASI; AUS; CA; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,480,Slaty-backed Gull,Charadriiformes,Laridae,Larus schistisagus,yes,Slaty-backed Gull,Larus schistisagus,breeds northeastern Siberia to Japan; winters southward to Taiwan,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes,480,Larus schistisagus,Slaty-backed Gull
Laterallus jamaicensis,Black Rail,Laterallus jamaicensis,Black Rail,GRUIFORMES,Rallidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,2160,Black Rail,Gruiformes,Rallidae,Laterallus jamaicensis,yes,Black Rail,Laterallus jamaicensis,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes,2160,Laterallus jamaicensis,Black Rail
Leiothlypis celata,Orange-crowned Warbler,Leiothlypis celata,Orange-crowned Warbler,PASSERIFORMES,Parulidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,6460,Orange-crowned Warbler,Passeriformes,Parulidae,Leiothlypis celata,yes,Orange-crowned Warbler,Leiothlypis celata,NA,Parulidae (New World Warblers),Passeriformes,yes,NA,yes,6460,Leiothlypis celata,Orange-crowned Warbler
Leiothlypis luciae,Lucy's Warbler,Leiothlypis luciae,Lucy's Warbler,PASSERIFORMES,Parulidae,Rare/Accidental,NA,NA,NA,Rare/Accidental,CA; CAM; hol; NAM; nea; US48; USak,yes,6430,Lucy's Warbler,Passeriformes,Parulidae,Leiothlypis luciae,yes,Lucy's Warbler,Leiothlypis luciae,arid southwestern USA to northeastern Baja California and northeastern Sonora; winters to southwestern Mexico,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes,6430,Leiothlypis luciae,Lucy's Warbler
Leiothlypis peregrina,Tennessee Warbler,Leiothlypis peregrina,Tennessee Warbler,PASSERIFORMES,Parulidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak; XX,yes,6470,Tennessee Warbler,Passeriformes,Parulidae,Leiothlypis peregrina,yes,Tennessee Warbler,Leiothlypis peregrina,southeastern Alaska and southern Yukon to northern USA; winters southern Mexico to northwestern South America,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes,6470,Leiothlypis peregrina,Tennessee Warbler
Leiothlypis ruficapilla,Nashville Warbler,Leiothlypis ruficapilla,Nashville Warbler,PASSERIFORMES,Parulidae,NA,NA,Rare/Accidental,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; XX,yes,6450,Nashville Warbler,Passeriformes,Parulidae,Leiothlypis ruficapilla,yes,Nashville Warbler,Leiothlypis ruficapilla,NA,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes,6450,Leiothlypis ruficapilla,Nashville Warbler
Leiothlypis virginiae,Virginia's Warbler,Leiothlypis virginiae,Virginia's Warbler,PASSERIFORMES,Parulidae,Rare/Accidental,NA,NA,Breeding endemic,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,6440,Virginia's Warbler,Passeriformes,Parulidae,Leiothlypis virginiae,yes,Virginia's Warbler,Leiothlypis virginiae,mountains of southwestern USA; winters to southwestern Mexico,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental; Breeding endemic,yes,6440,Leiothlypis virginiae,Virginia's Warbler
Leptotila verreauxi,White-tipped Dove,Leptotila verreauxi,White-tipped Dove,COLUMBIFORMES,Columbidae,NA,NA,NA,NA,NA,CAM; hol; NAM; NaN; nea; SAM; TT; US48,yes,3180,White-tipped Dove,Columbiformes,Columbidae,Leptotila verreauxi,yes,White-tipped Dove,Leptotila verreauxi,NA,Columbidae (Pigeons and Doves),Columbiformes,yes,NA,yes,3180,Leptotila verreauxi,White-tipped Dove
Leucophaeus atricilla,Laughing Gull,Leucophaeus atricilla,Laughing Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,580,Laughing Gull,Charadriiformes,Laridae,Leucophaeus atricilla,yes,Laughing Gull,Leucophaeus atricilla,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,580,Leucophaeus atricilla,Laughing Gull
Leucophaeus pipixcan,Franklin's Gull,Leucophaeus pipixcan,Franklin's Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,590,Franklin's Gull,Charadriiformes,Laridae,Leucophaeus pipixcan,yes,Franklin's Gull,Leucophaeus pipixcan,west-central North America; winters Pacific coast of South America,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,590,Leucophaeus pipixcan,Franklin's Gull
Leucosticte atrata,Black Rosy-Finch,Leucosticte atrata,Black Rosy-Finch,PASSERIFORMES,Fringillidae,NA,Endangered,NA,Endemic Endangered,NA,hol; NAM; nea; US48,yes,5250,Black Rosy-Finch,Passeriformes,Fringillidae,Leucosticte atrata,yes,Black Rosy-Finch,Leucosticte atrata,mountains of Idaho and Montana to Nevada and Utah; winters to Arizona,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Endemic Endangered,yes,5250,Leucosticte atrata,Black Rosy-Finch
Leucosticte australis,Brown-capped Rosy-Finch,Leucosticte australis,Brown-capped Rosy-Finch,PASSERIFORMES,Fringillidae,NA,Endangered,NA,Endemic Endangered,NA,hol; NAM; nea; US48,yes,5260,Brown-capped Rosy-Finch,Passeriformes,Fringillidae,Leucosticte australis,yes,Brown-capped Rosy-Finch,Leucosticte australis,"mountains of southeastern Wyoming, Colorado, and north-central New Mexico","Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Endemic Endangered,yes,5260,Leucosticte australis,Brown-capped Rosy-Finch
Leucosticte tephrocotis,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,PASSERIFORMES,Fringillidae,NA,NA,NA,NA,NA,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,5240,Gray-crowned Rosy-Finch,Passeriformes,Fringillidae,Leucosticte tephrocotis,yes,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,yes,5240,Leucosticte tephrocotis,Gray-crowned Rosy-Finch
Limnodromus griseus,Short-billed Dowitcher,Limnodromus griseus,Short-billed Dowitcher,CHARADRIIFORMES,Scolopacidae,Vulnerable,Vulnerable,Vulnerable,Vulnerable,Vulnerable,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2310,Short-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus griseus,yes,Short-billed Dowitcher,Limnodromus griseus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Vulnerable; Vulnerable; Vulnerable,yes,2310,Limnodromus griseus,Short-billed Dowitcher
Limnodromus griseus/scolopaceus,Short-billed/Long-billed Dowitcher; unid. Short-billed/Long-billed Dowitcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,2327,unid. Short-billed / Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus griseus / scolopaceus,yes,Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,yes,2327,Limnodromus griseus/scolopaceus,Short-billed/Long-billed Dowitcher
Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,Long-billed Dowitcher,CHARADRIIFORMES,Scolopacidae,Near-threatened,Near-threatened,Rare/Accidental Near-threatened,Near-threatened,Near-threatened,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,2320,Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus scolopaceus,yes,Long-billed Dowitcher,Limnodromus scolopaceus,breeds Siberia and Alaska; winters southern USA to Panama,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes,2320,Limnodromus scolopaceus,Long-billed Dowitcher
Limnothlypis swainsonii,Swainson's Warbler,Limnothlypis swainsonii,Swainson's Warbler,PASSERIFORMES,Parulidae,Rare/Accidental,NA,NA,Breeding endemic,NA,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,6380,Swainson's Warbler,Passeriformes,Parulidae,Limnothlypis swainsonii,yes,Swainson's Warbler,Limnothlypis swainsonii,southeastern USA; winters southeastern Mexico and Belize to Guatemala and West Indies,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental; Breeding endemic,yes,6380,Limnothlypis swainsonii,Swainson's Warbler
Limosa fedoa,Marbled Godwit,Limosa fedoa,Marbled Godwit,CHARADRIIFORMES,Scolopacidae,Vulnerable,Vulnerable,Rare/Accidental Vulnerable,Vulnerable,Vulnerable,CA; CAM; CAR; hol; NAM; NaN; nea; OCE; PAC; SAM; TT; US48; USak; UShi,yes,2490,Marbled Godwit,Charadriiformes,Scolopacidae,Limosa fedoa,yes,Marbled Godwit,Limosa fedoa,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Vulnerable; Vulnerable; Vulnerable,yes,2490,Limosa fedoa,Marbled Godwit
Limosa haemastica,Hudsonian Godwit,Limosa haemastica,Hudsonian Godwit,CHARADRIIFORMES,Scolopacidae,Vulnerable,Vulnerable,Rare/Accidental Vulnerable,Vulnerable,Vulnerable,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2510,Hudsonian Godwit,Charadriiformes,Scolopacidae,Limosa haemastica,yes,Hudsonian Godwit,Limosa haemastica,"breeds locally in Alaska and northern Canada (east to Hudson Bay); winters in southern South America (Argentina and south-central Chile), southward to Tierra del Fuego",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Vulnerable; Vulnerable; Vulnerable,yes,2510,Limosa haemastica,Hudsonian Godwit
Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit,CHARADRIIFORMES,Scolopacidae,Rare/Accidental Near-threatened,Near-threatened,NA,Rare/Accidental Near-threatened,Near-threatened,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,2500,Bar-tailed Godwit,Charadriiformes,Scolopacidae,Limosa lapponica,yes,Bar-tailed Godwit,Limosa lapponica,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental Near-threatened; Rare/Accidental Near-threatened; Near-threatened,yes,2500,Limosa lapponica,Bar-tailed Godwit
