scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Myioborus pictus,Painted Redstart,Myioborus pictus,Painted Redstart,L0 species as entered on checklist (Clements 2024)
Parula pitiayumi,Tropical Parula,Setophaga pitiayumi,Tropical Parula,high confidence common name fuzzy match (Clements 2024)  1
Vireo gilvus,Warbling Vireo,Vireo gilvus,Warbling Vireo,L0 species as entered on checklist (Clements 2024)
Piranga flava,Hepatic Tanager,Piranga flava,Hepatic Tanager,L0 species as entered on checklist (Clements 2024)
Myiopsitta monachus,Monk Parakeet,Myiopsitta monachus,Monk Parakeet,L0 species as entered on checklist (Clements 2024)
Pseudoseisura lophotes,Brown Cacholote,Pseudoseisura lophotes,Brown Cacholote,L0 species as entered on checklist (Clements 2024)
Myiozetetes granadensis,Gray-Capped Flycatcher,Myiozetetes granadensis,Gray-capped Flycatcher,L0 species as entered on checklist (Clements 2024)
Pelecanus erythrorhynchos,American White Pelican,Pelecanus erythrorhynchos,American White Pelican,L0 species as entered on checklist (Clements 2024)
Nyctanassa violacea,Yellow-Crowned Night Heron,Nyctanassa violacea,Yellow-crowned Night Heron,L0 species as entered on checklist (Clements 2024)
Plegadis chihi,White-Faced Ibis,Plegadis chihi,White-faced Ibis,L0 species as entered on checklist (Clements 2024)
Nomonyx	dominicus,Masked Duck,Nomonyx dominicus,Masked Duck,high confidence str match to checklist (Clements 2024)  0.961
Oxyura jamaicensis,Ruddy Duck,Oxyura jamaicensis,Ruddy Duck,L0 species as entered on checklist (Clements 2024)
Pica hudsonia,Black-Billed Magpie,Pica hudsonia,Black-billed Magpie,L0 species as entered on checklist (Clements 2024)
Sphyrapicus thyroideus,Williamson's Sapsucker,Sphyrapicus thyroideus,Williamson's Sapsucker,L0 species as entered on checklist (Clements 2024)
Numenius americanus,Long-Billed Curlew,Numenius americanus,Long-billed Curlew,L0 species as entered on checklist (Clements 2024)
Ardenna pacificus,Wedge-Tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,high confidence common name fuzzy match (Clements 2024)  1
Nyctea scandiaca,Snowy Owl,Bubo scandiacus,Snowy Owl,high confidence common name fuzzy match (Clements 2024)  1
Nycticorax nycticorax hoactli,American Black-Crowned Night-Heron,Nycticorax nycticorax hoactli,Black-crowned Night Heron (American),L0 species as entered on checklist (Clements 2024)
Nyctidromus albicollis,Common Pauraque,Nyctidromus albicollis,Common Pauraque,L0 species as entered on checklist (Clements 2024)
Hydropsaslis torquata,Scissor-Tailed Nightjar,Hydropsalis torquata,Scissor-tailed Nightjar,high confidence str match to checklist (Clements 2024)  0.959
Setopagis parvula,Little Nightjar,Setopagis parvula,Little Nightjar,L0 species as entered on checklist (Clements 2024)
Antrostomus rufus,Rufous Nightjar,Antrostomus rufus,Rufous Nightjar,L0 species as entered on checklist (Clements 2024)
Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe,Northern Wheatear,L0 species as entered on checklist (Clements 2024)
Oenanthe oenanthe libanotica,Northern Wheatear (Eurasian),Oenanthe oenanthe libanotica,,L0 species as entered on checklist (Clements 2024)
Oenanthe oenanthe leucorhoa,Northern Wheater (Greenland),Oenanthe oenanthe leucorhoa,Northern Wheatear (Greenland),L0 species as entered on checklist (Clements 2024)
Oenanthe oenanthe oenanthe,Northern Wheatear (Eurasian),Oenanthe oenanthe oenanthe,,L0 species as entered on checklist (Clements 2024)
Oenanthe deserti,Desert Wheatear,Oenanthe deserti,Desert Wheatear,L0 species as entered on checklist (Clements 2024)
Oenanthe pleschanka,Pied Wheatear,Oenanthe pleschanka,Pied Wheatear,L0 species as entered on checklist (Clements 2024)
Oenanthe finschii,Finsch's Wheatear,Oenanthe finschii,Finsch's Wheatear,L0 species as entered on checklist (Clements 2024)
Anthus pratensis,Meadow Pipit,Anthus pratensis,Meadow Pipit,L0 species as entered on checklist (Clements 2024)
Linaria cannabina,Eurasian Linnet,Linaria cannabina,Eurasian Linnet,L0 species as entered on checklist (Clements 2024)
Ficedula hypoleuca,European Pied Flycatcher,Ficedula hypoleuca,European Pied Flycatcher,L0 species as entered on checklist (Clements 2024)
Phylloscopus trochilus,Willow Warbler,Phylloscopus trochilus,Willow Warbler,L0 species as entered on checklist (Clements 2024)
Phoenicurus ochruros,Black Redstart,Phoenicurus ochruros,Black Redstart,L0 species as entered on checklist (Clements 2024)
Zonotrichia atricapilla,Golden-Crowned Sparrow,Zonotrichia atricapilla,Golden-crowned Sparrow,L0 species as entered on checklist (Clements 2024)
Acanthis flammea,Redpoll,Acanthis flammea,Redpoll,L0 species as entered on checklist (Clements 2024)
Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,Common Redstart,L0 species as entered on checklist (Clements 2024)
Onychoprion aleuticus,Aleutian Tern,Onychoprion aleuticus,Aleutian Tern,L0 species as entered on checklist (Clements 2024)
Onychoprion fuscatus,Sooty Tern,Onychoprion fuscatus,Sooty Tern,L0 species as entered on checklist (Clements 2024)
Oporornis agilis,Conneticut Warbler,Oporornis agilis,Connecticut Warbler,L0 species as entered on checklist (Clements 2024)
Agelaius xanthomus,Yellow-Shouldered Blackbird,Agelaius xanthomus,Yellow-shouldered Blackbird,L0 species as entered on checklist (Clements 2024)
Oreortyx pictus,Mountain Quail,Oreortyx pictus,Mountain Quail,L0 species as entered on checklist (Clements 2024)
Oreoscoptes montanus,Sage Thrasher,Oreoscoptes montanus,Sage Thrasher,L0 species as entered on checklist (Clements 2024)
Ortygornis pondicerianus,Gray Francolin,Ortygornis pondicerianus,Gray Francolin,L0 species as entered on checklist (Clements 2024)
Pachycoccyx audeberti,Thick-Billed Cuckoo,Pachycoccyx audeberti,Thick-billed Cuckoo,L0 species as entered on checklist (Clements 2024)
Pachyramphus aglaiae,Rose-Throated Becard,Pachyramphus aglaiae,Rose-throated Becard,L0 species as entered on checklist (Clements 2024)
Tyrannus melancholicus,Tropical Kingbird,Tyrannus melancholicus,Tropical Kingbird,L0 species as entered on checklist (Clements 2024)
Pyrocephalus rubinus,Vermilion Flycatcher,Pyrocephalus rubinus,Vermilion Flycatcher,L0 species as entered on checklist (Clements 2024)
Tyrannus crassirostris,Thick-Billed Kingbird,Tyrannus crassirostris,Thick-billed Kingbird,L0 species as entered on checklist (Clements 2024)
Myiozetetes similis,Social Flycatcher,Myiozetetes similis,Social Flycatcher,L0 species as entered on checklist (Clements 2024)
Pandion haliaetus,Osprey,Pandion haliaetus,Osprey,L0 species as entered on checklist (Clements 2024)
Parkesia motacilla,Louisiana Waterthrush,Parkesia motacilla,Louisiana Waterthrush,L0 species as entered on checklist (Clements 2024)
Parkesia noveboracensis,Northern Waterthrush,Parkesia noveboracensis,Northern Waterthrush,L0 species as entered on checklist (Clements 2024)
Parkesia noveboracensis novaboracensis,Northern Waterthrush,Parkesia noveboracensis,Northern Waterthrush,high confidence common name fuzzy match (Clements 2024)  1
Parkesia noveboracensis notabilis,Northern Waterthrush,Parkesia noveboracensis notabilis,Northern Waterthrush,"Update to checklist Northern Waterthrush=Parkesia noveboracensis. No subspecies. edited to match checklist (Clements 2024). CLOSEST MATCH because BOW states 'No subspecies, following Eaton (1957a) and Molina et al. (2000).'. Common name in int.raw is Northern Waterthrush."
Parkesia noveboracensis limnaeus,Northern Waterthrush,Parkesia noveboracensis limnaeus,Northern Waterthrush,"Update to checklist Northern Waterthrush=Parkesia noveboracensis. No subspecies. edited to match checklist (Clements 2024). CLOSEST MATCH because BOW states 'No subspecies, following Eaton (1957a) and Molina et al. (2000).'. Common name in int.raw is Northern Waterthrush."
Passer montanus,Eurasian Tree Sparrow,Passer montanus,Eurasian Tree Sparrow,L0 species as entered on checklist (Clements 2024)
Passerella iliaca,Fox Sparrow,Passerella iliaca,Fox Sparrow,L0 species as entered on checklist (Clements 2024)
Passerella iliaca zaboria,Red Fox Sparrow,Passerella iliaca zaboria,,L0 species as entered on checklist (Clements 2024)
Passerella iliaca olivacea,Slate-Colored Fox Sparrow,Passerella iliaca olivacea,,L0 species as entered on checklist (Clements 2024)
Passerella iliaca schistacea,Slate-Colored Fox Sparrow,Passerella iliaca schistacea,,L0 species as entered on checklist (Clements 2024)
Passerella iliaca swarthi,Slate-Colored Fox Sparrow,Passerella iliaca swarthi,,L0 species as entered on checklist (Clements 2024)
Passerella iliaca fulva,Thick-Billed Fox Sparrow,Passerella iliaca fulva,,L0 species as entered on checklist (Clements 2024)
Passerella iliaca monoensis,Thick-Billed Fox Sparrow,Passerella iliaca monoensis,,L0 species as entered on checklist (Clements 2024)
Passerella iliaca [unalaschcensis group],Sooty Fox Sparrow,Passerella iliaca [unalaschcensis Group],Fox Sparrow (Sooty),high confidence str match to checklist (Clements 2024)  1
Passerella iliaca [iliaca group],Red Fox Sparrow,Passerella iliaca [iliaca group],Red Fox Sparrow,Update to checklist Fox Sparrow (Red)=Passerella iliaca iliaca/zaboria. edited to match checklist (Clements 2024).
Passerella iliaca unalaschcensis,Sooty Fox Sparrow,Passerella iliaca unalaschcensis,,L0 species as entered on checklist (Clements 2024)
Passerella iliaca altivagans,Slate-Colored Fox Sparrow,Passerella iliaca altivagans,,L0 species as entered on checklist (Clements 2024)
Passerina amoena,Lazuli Bunting,Passerina amoena,Lazuli Bunting,L0 species as entered on checklist (Clements 2024)
Passerina caerulea,Blue Grosbeak,Passerina caerulea,Blue Grosbeak,L0 species as entered on checklist (Clements 2024)
Passerina ciris,Painted Bunting,Passerina ciris,Painted Bunting,L0 species as entered on checklist (Clements 2024)
Passerina cyanea,Indigo Bunting,Passerina cyanea,Indigo Bunting,L0 species as entered on checklist (Clements 2024)
Passerina versicolor,Varied Bunting,Passerina versicolor,Varied Bunting,L0 species as entered on checklist (Clements 2024)
Thryomanes bewickii,Bewick's Wren,Thryomanes bewickii,Bewick's Wren,L0 species as entered on checklist (Clements 2024)
Vireo bellii,Bell's Vireo,Vireo bellii,Bell's Vireo,L0 species as entered on checklist (Clements 2024)
Passerine sp.,Unid. Passerine,Passerine sp.,Unid. Passerine,NA
Patagioenas fasciata,Band-Tailed Pigeon,Patagioenas fasciata,Band-tailed Pigeon,L0 species as entered on checklist (Clements 2024)
Patagioenas flavirostris,Red-Billed Pigeon,Patagioenas flavirostris,Red-billed Pigeon,L0 species as entered on checklist (Clements 2024)
Patagioenas leucocephala,White-Crowned Pigeon,Patagioenas leucocephala,White-crowned Pigeon,L0 species as entered on checklist (Clements 2024)
Patagioenas squamosa,Scaly-Naped Pigeon,Patagioenas squamosa,Scaly-naped Pigeon,L0 species as entered on checklist (Clements 2024)
Pavo cristatus,Indian Peafowl,Pavo cristatus,Indian Peafowl,L0 species as entered on checklist (Clements 2024)
Perdix perdix,Gray Partridge,Perdix perdix,Gray Partridge,L0 species as entered on checklist (Clements 2024)
Perisoreus canadensis,Canada Jay,Perisoreus canadensis,Canada Jay,L0 species as entered on checklist (Clements 2024)
Perisoreus infaustus,Siberian Jay,Perisoreus infaustus,Siberian Jay,L0 species as entered on checklist (Clements 2024)
Peucaea aestivalis,Bachman's Sparrow,Peucaea aestivalis,Bachman's Sparrow,L0 species as entered on checklist (Clements 2024)
Peucaea aestivalis,Bachman's Sparrow	Field Sparrow	Peucaea Aestivalis	Spizella Pusilla,Peucaea aestivalis,Bachman's Sparrow,L0 species as entered on checklist (Clements 2024)
Peucaea botterii,Botteri's Sparrow,Peucaea botterii,Botteri's Sparrow,L0 species as entered on checklist (Clements 2024)
Peucaea carpalis,Rufous-Winged Sparrow,Peucaea carpalis,Rufous-winged Sparrow,L0 species as entered on checklist (Clements 2024)
Spizella passerina,Chipping Sparrow,Spizella passerina,Chipping Sparrow,L0 species as entered on checklist (Clements 2024)
Peucaea cassinii,Cassin's Sparrow,Peucaea cassinii,Cassin's Sparrow,L0 species as entered on checklist (Clements 2024)
Setophaga townsendi,Townsend's Warbler,Setophaga townsendi,Townsend's Warbler,L0 species as entered on checklist (Clements 2024)
Setophaga coronata auduboni,Yellow-Rumped Warbler (Audubon's),Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's),L0 species as entered on checklist (Clements 2024)
Poecile sclateri,Mexican Chickadee,Poecile sclateri,Mexican Chickadee,L0 species as entered on checklist (Clements 2024)
Psaltriparus minimum,Bushtit,Psaltriparus minimus,Bushtit,high confidence str match to checklist (Clements 2024)  0.967
Vireo huttoni,Hutton's Vireo,Vireo huttoni,Hutton's Vireo,L0 species as entered on checklist (Clements 2024)
Phaethon aethereus,Red-Billed Tropicbird,Phaethon aethereus,Red-billed Tropicbird,L0 species as entered on checklist (Clements 2024)
Phaethornis striigularis,Stripe-Throated Hermit,Phaethornis striigularis,Stripe-throated Hermit,L0 species as entered on checklist (Clements 2024)
Amazilia tzacatl,Rufous-Tailed Hummingbird,Amazilia tzacatl,Rufous-tailed Hummingbird,L0 species as entered on checklist (Clements 2024)
