scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Myiarchus tyrannulus,Brown-crested Flycatcher,Brown-crested Flycatcher,Myiarchus tyrannulus,NA,PASSERIFORMES,Tyrannidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,4530,Brown-crested Flycatcher,Passeriformes,Tyrannidae,Myiarchus tyrannulus,yes,Brown-crested Flycatcher,Myiarchus tyrannulus,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Myiarchus tyrannulus,Brown-crested Flycatcher,CONUS & Canada,Passeriformes,Tyrannidae,7/8/2022; 7/11/2022,yes
Myioborus miniatus,Slate-throated Redstart,Slate-throated Redstart,Myioborus miniatus,Rare/Accidental,PASSERIFORMES,Parulidae,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Slate-throated Redstart,Myioborus miniatus,NA,Parulidae (New World Warblers),Passeriformes,yes,Myioborus miniatus,Slate-throated Redstart,Mexico,Passeriformes,Parulidae,09/16/24,yes
Myioborus pictus,Painted Redstart,Painted Redstart,Myioborus pictus,NA,PASSERIFORMES,Parulidae,CA; CAM; hol; NAM; nea; US48,yes,6880,Painted Redstart,Passeriformes,Parulidae,Myioborus pictus,yes,Painted Redstart,Myioborus pictus,NA,Parulidae (New World Warblers),Passeriformes,yes,Myioborus pictus,Painted Redstart,CONUS & Canada,Passeriformes,Parulidae,3/24/2023,yes
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,NA,PASSERIFORMES,Tyrannidae,CA; CAM; hol; NAM; nea; SAM; US48,yes,4510,Sulphur-bellied Flycatcher,Passeriformes,Tyrannidae,Myiodynastes luteiventris,yes,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,southeastern Arizona to Costa Rica; winters eastern Ecuador to northern Bolivia,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,CONUS & Canada,Passeriformes,Tyrannidae,2/10/2023,yes
Myiopagis viridicata,Greenish Elaenia,Greenish Elaenia,Myiopagis viridicata,Rare/Accidental,PASSERIFORMES,Tyrannidae,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Greenish Elaenia,Myiopagis viridicata,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Myiopagis viridicata,Greenish Elaenia,Mexico,Passeriformes,Tyrannidae,9/17/2024,yes
Myiopsitta monachus,Monk Parakeet,Monk Parakeet,Myiopsitta monachus,Introduced species,PSITTACIFORMES,Psittacidae,AFR; CAM; CAR; EUR; hol; MID; NAM; nea; pal; SAM; US48,yes,3824,Monk Parakeet,Psittaciformes,Psittacidae,Myiopsitta monachus,yes,Monk Parakeet,Myiopsitta monachus,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Myiopsitta monachus,Monk Parakeet,CONUS & Canada,Psittaciformes,Psittacidae,2/10/2023,yes
Myiozetetes similis,Social Flycatcher,Social Flycatcher,Myiozetetes similis,Rare/Accidental,PASSERIFORMES,Tyrannidae,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Social Flycatcher,Myiozetetes similis,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Myiozetetes similis,Social Flycatcher,Mexico,Passeriformes,Tyrannidae,9/17/2024,yes
Nannopterum auritum,Double-crested Cormorant,Double-crested Cormorant,Nannopterum auritum,NA,SULIFORMES,Phalacrocoracidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; oat; pal; SAM; US48; USak; XX,yes,1200,Double-crested Cormorant,Suliformes,Phalacrocoracidae,Nannopterum auritum,yes,Double-crested Cormorant,Nannopterum auritum,NA,Phalacrocoracidae (Cormorants and Shags),Suliformes,yes,Nannopterum auritum,Double-crested Cormorant,CONUS & Canada,Suliformes,Phalacrocoracidae,1/30/2023,yes
Nannopterum auritum/brasilianum; Nannopterum brasilianum/auritum,Double-crested/Neotropic Cormorant; unid. Neotropic/Double-crested Cormorant,NA,NA,NA,NA,NA,NA,no,1205,unid. Neotropic / Double-crested Cormorant,Suliformes,Phalacrocoracidae,Nannopterum brasilianum / auritum,yes,Double-crested/Neotropic Cormorant,Nannopterum auritum/brasilianum,NA,Phalacrocoracidae (Cormorants and Shags),Suliformes,yes,Nannopterum brasilianum / auritum,unid. Neotropic / Double-crested Cormorant,CONUS & Canada,Suliformes,Phalacrocoracidae,N/A; unidentified species,yes
Nannopterum brasilianum,Neotropic Cormorant,Neotropic Cormorant,Nannopterum brasilianum,NA,SULIFORMES,Phalacrocoracidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,1210,Neotropic Cormorant,Suliformes,Phalacrocoracidae,Nannopterum brasilianum,yes,Neotropic Cormorant,Nannopterum brasilianum,NA,Phalacrocoracidae (Cormorants and Shags),Suliformes,yes,Nannopterum brasilianum,Neotropic Cormorant,CONUS & Canada,Suliformes,Phalacrocoracidae,10/30/2023-11/3/2023,yes
Nesophlox evelynae,Bahama Woodstar,Bahama Woodstar,Nesophlox evelynae,Rare/Accidental,APODIFORMES,Trochilidae,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Bahama Woodstar,Nesophlox evelynae,varied habitats in Bahamas (except for Inagua group) and the Caicos Islands,Trochilidae (Hummingbirds),Apodiformes,yes,NA,NA,NA,NA,NA,NA,no
Ninox japonica,Northern Boobook,Northern Boobook,Ninox japonica,Rare/Accidental,STRIGIFORMES,Strigidae,ASI; AUS; EUR; hol; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Northern Boobook,Ninox japonica,NA,Strigidae (Owls),Strigiformes,yes,NA,NA,NA,NA,NA,NA,no
Nucifraga columbiana,Clark's Nutcracker,Clark's Nutcracker,Nucifraga columbiana,NA,PASSERIFORMES,Corvidae,CA; CAM; hol; NAM; nea; US48; USak,yes,4910,Clark's Nutcracker,Passeriformes,Corvidae,Nucifraga columbiana,yes,Clark's Nutcracker,Nucifraga columbiana,Rocky Mountains (southwestern Canada to northern Baja California); casual to northwestern Mexico,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Nucifraga columbiana,Clark's Nutcracker,CONUS & Canada,Passeriformes,Corvidae,2/20/2023,yes
Numenius americanus,Long-billed Curlew,Long-billed Curlew,Numenius americanus,NA,CHARADRIIFORMES,Scolopacidae,CA; CAM; CAR; hol; NAM; nea; SAM; TT; US48; USak,yes,2640,Long-billed Curlew,Charadriiformes,Scolopacidae,Numenius americanus,yes,Long-billed Curlew,Numenius americanus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Numenius americanus,Long-billed Curlew,CONUS & Canada,Charadriiformes,Scolopacidae,9/29/2023-10/2/2023,yes
Numenius arquata,Eurasian Curlew,Eurasian Curlew,Numenius arquata,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Eurasian Curlew,Numenius arquata,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Numenius borealis,Eskimo Curlew,Eskimo Curlew,Numenius borealis,Critically endangered (possibly extinct),CHARADRIIFORMES,Scolopacidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48; USak,yes,NA,NA,NA,NA,NA,no,Eskimo Curlew,Numenius borealis,Canadian Arctic; winters to southern South America (probably extinct),Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Numenius madagascariensis,Far Eastern Curlew,Far Eastern Curlew,Numenius madagascariensis,Rare/Accidental Endangered,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi,yes,NA,NA,NA,NA,NA,no,Far Eastern Curlew,Numenius madagascariensis,"breeds northeastern Asia; winters to Philippines, Indonesia, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Numenius minutus,Little Curlew,Little Curlew,Numenius minutus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Little Curlew,Numenius minutus,"Siberia; winters to Philippines, Indonesia, and northern Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Numenius phaeopus,Whimbrel,Whimbrel,Numenius phaeopus,NA,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; oin; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2650,Whimbrel,Charadriiformes,Scolopacidae,Numenius phaeopus,yes,Whimbrel,Numenius phaeopus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Numenius phaeopus,Whimbrel,CONUS & Canada,Charadriiformes,Scolopacidae,12/22/2022,yes
Numenius tahitiensis,Bristle-thighed Curlew,Bristle-thighed Curlew,Numenius tahitiensis,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,ASI; AUS; CA; hol; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,2680,Bristle-thighed Curlew,Charadriiformes,Scolopacidae,Numenius tahitiensis,yes,Bristle-thighed Curlew,Numenius tahitiensis,breeds western Alaska; winters Hawaii and Micronesia to Polynesia,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Numenius tahitiensis,Bristle-thighed Curlew,CONUS & Canada,Charadriiformes,Scolopacidae,12/22/2022,yes
Numenius tenuirostris,Slender-billed Curlew,Slender-billed Curlew,Numenius tenuirostris,Rare/Accidental Critically endangered,CHARADRIIFORMES,Scolopacidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Slender-billed Curlew,Numenius tenuirostris,breeds southwestern Siberia and northern Kazakhstan; winters northwestern Africa; possibly extinct,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Nyctanassa violacea,Yellow-crowned Night Heron; Yellow-crowned Night-Heron,Yellow-crowned Night Heron,Nyctanassa violacea,NA,PELECANIFORMES,Ardeidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48,yes,2030,Yellow-crowned Night-Heron,Pelecaniformes,Ardeidae,Nyctanassa violacea,yes,Yellow-crowned Night Heron,Nyctanassa violacea,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Nyctanassa violacea,Yellow-crowned Night-Heron,CONUS & Canada,Pelecaniformes,Ardeidae,10/30/2023,yes
Nycticorax nycticorax,Black-crowned Night Heron; Black-crowned Night-Heron,Black-crowned Night Heron,Nycticorax nycticorax,NA,PELECANIFORMES,Ardeidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2020,Black-crowned Night-Heron,Pelecaniformes,Ardeidae,Nycticorax nycticorax,yes,Black-crowned Night Heron,Nycticorax nycticorax,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Nycticorax nycticorax,Black-crowned Night-Heron,CONUS & Canada,Pelecaniformes,Ardeidae,1/31/2023,yes
Nycticorax nycticorax/Nyctanassa violacea; Nycticorax/Nyctanassa nycticorax/violacea,Yellow-crowned/Black-crowned Night Heron; unid Black-crowned/Yellow-crowned Night-Heron,NA,NA,NA,NA,NA,NA,no,2035,unid Black-crowned / Yellow-crowned Night-Heron,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa nycticorax / violacea,yes,Yellow-crowned/Black-crowned Night Heron,Nycticorax nycticorax/Nyctanassa violacea,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Nycticorax / Nyctanassa nycticorax / violacea,unid Black-crowned / Yellow-crowned Night-Heron,CONUS & Canada,Pelecaniformes,Ardeidae,N/A; unidentified species,yes
Nyctidromus albicollis,Common Pauraque,Common Pauraque,Nyctidromus albicollis,NA,CAPRIMULGIFORMES,Caprimulgidae,CAM; hol; NAM; nea; SAM; TT; US48,yes,4190,Common Pauraque,Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,yes,Common Pauraque,Nyctidromus albicollis,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Nyctidromus albicollis,Common Pauraque,CONUS & Canada,Caprimulgiformes,Caprimulgidae,12/14/2022,yes
Oenanthe oenanthe,Northern Wheatear,Northern Wheatear,Oenanthe oenanthe,NA,PASSERIFORMES,Muscicapidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; XX,yes,7650,Northern Wheatear,Passeriformes,Muscicapidae,Oenanthe oenanthe,yes,Northern Wheatear,Oenanthe oenanthe,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Oenanthe oenanthe,Northern Wheatear,CONUS & Canada,Passeriformes,Muscicapidae,2/28/2023,yes
Oenanthe pleschanka,Pied Wheatear,Pied Wheatear,Oenanthe pleschanka,Rare/Accidental,PASSERIFORMES,Muscicapidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Pied Wheatear,Oenanthe pleschanka,"stony south-central Eurasia; winters to Arabia, Iran, and northeastern Africa",Muscicapidae (Old World Flycatchers),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Onychoprion aleuticus,Aleutian Tern,Aleutian Tern,Onychoprion aleuticus,Rare/Accidental Vulnerable,CHARADRIIFORMES,Laridae,ASI; AUS; CA; EUR; hol; NAM; nea; OCE; pal; USak,yes,730,Aleutian Tern,Charadriiformes,Laridae,Onychoprion aleuticus,yes,Aleutian Tern,Onychoprion aleuticus,Alaska and Siberia; winters to Singapore and Indonesia,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Onychoprion aleuticus,Aleutian Tern,CONUS & Canada,Charadriiformes,Laridae,10/12/2023-10/27/2023,yes
Oporornis agilis,Connecticut Warbler,Connecticut Warbler,Oporornis agilis,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; US48; XX,yes,6780,Connecticut Warbler,Passeriformes,Parulidae,Oporornis agilis,yes,Connecticut Warbler,Oporornis agilis,northern North America; winters South America east of Andes to Bolivia and northwestern Paraguay,Parulidae (New World Warblers),Passeriformes,yes,Oporornis agilis,Connecticut Warbler,CONUS & Canada,Passeriformes,Parulidae,11/6/2023-11/10/2023,yes
Oreortyx pictus,Mountain Quail,Mountain Quail,Oreortyx pictus,NA,GALLIFORMES,Odontophoridae,CA; CAM; hol; NAM; nea; US48,yes,2920,Mountain Quail,Galliformes,Odontophoridae,Oreortyx pictus,yes,Mountain Quail,Oreortyx pictus,"montane western North America, from Washington southward through the Cascades, coast ranges, and Sierra Nevada to Baja California (northwestern Mexico)",Odontophoridae (New World Quail),Galliformes,yes,Oreortyx pictus,Mountain Quail,CONUS & Canada,Galliformes,Odontophoridae,4/9/2019; checked 9/20/2022,yes
Oreoscoptes montanus,Sage Thrasher,Sage Thrasher,Oreoscoptes montanus,NA,PASSERIFORMES,Mimidae,CA; CAM; hol; NAM; nea; US48,yes,7020,Sage Thrasher,Passeriformes,Mimidae,Oreoscoptes montanus,yes,Sage Thrasher,Oreoscoptes montanus,arid southern British Columbia to Baja California and central Mexico,Mimidae (Mockingbirds and Thrashers),Passeriformes,yes,Oreoscoptes montanus,Sage Thrasher,CONUS & Canada,Passeriformes,Mimidae,10/26/23,yes
Oreothlypis superciliosa,Crescent-chested Warbler,Crescent-chested Warbler,Oreothlypis superciliosa,Rare/Accidental,PASSERIFORMES,Parulidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Crescent-chested Warbler,Oreothlypis superciliosa,NA,Parulidae (New World Warblers),Passeriformes,yes,Oreothlypis superciliosa,Crescent-chested Warbler,Mexico,Passeriformes,Parulidae,9/13/2024,yes
Oriturus superciliosus,Striped Sparrow,Striped Sparrow,Oriturus superciliosus,Rare/Accidental,PASSERIFORMES,Passerellidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Striped Sparrow,Oriturus superciliosus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Oriturus superciliosus,Striped Sparrow,Mexico,Passeriformes,Passerellidae,NA,yes
Ortalis vetula,Plain Chachalaca,Plain Chachalaca,Ortalis vetula,NA,GALLIFORMES,Cracidae,CAM; hol; NAM; nea; US48,yes,3110,Plain Chachalaca,Galliformes,Cracidae,Ortalis vetula,yes,Plain Chachalaca,Ortalis vetula,NA,"Cracidae (Guans, Chachalacas, and Curassows)",Galliformes,yes,Ortalis vetula,Plain Chachalaca,CONUS & Canada,Galliformes,Cracidae,12/6/2022,yes
Otus sunia,Oriental Scops-Owl,Oriental Scops-Owl,Otus sunia,Rare/Accidental,STRIGIFORMES,Strigidae,ASI; AUS; hol; MID; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Oriental Scops-Owl,Otus sunia,NA,Strigidae (Owls),Strigiformes,yes,NA,NA,NA,NA,NA,NA,no
Oxyura jamaicensis,Ruddy Duck,Ruddy Duck,Oxyura jamaicensis,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; pal; SAM; US48; USak; UShi,yes,1670,Ruddy Duck,Anseriformes,Anatidae,Oxyura jamaicensis,yes,Ruddy Duck,Oxyura jamaicensis,interior northwestern North America (southwestern Canada to Mexico); West Indies,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Oxyura jamaicensis,Ruddy Duck,CONUS & Canada,Anseriformes,Anatidae,9/22/2023-9/28/2023,yes
Pachyramphus aglaiae,Rose-throated Becard,Rose-throated Becard,Pachyramphus aglaiae,NA,PASSERIFORMES,Tityridae,CAM; hol; NAM; nea; US48,yes,4411,Rose-throated Becard,Passeriformes,Tityridae,Pachyramphus aglaiae,yes,Rose-throated Becard,Pachyramphus aglaiae,NA,Tityridae (Tityras and Allies),Passeriformes,yes,Pachyramphus aglaiae,Rose-throated Becard,CONUS & Canada,Passeriformes,Tityridae,2/13/2023,yes
Pachyramphus major,Gray-collared Becard,Gray-collared Becard,Pachyramphus major,Rare/Accidental,PASSERIFORMES,Tityridae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Gray-collared Becard,Pachyramphus major,NA,Tityridae (Tityras and Allies),Passeriformes,yes,Pachyramphus major,Gray-collared Becard,Mexico,Passeriformes,Tityridae,9/17/2024-9/18/2024,yes
Pagophila eburnea,Ivory Gull,Ivory Gull,Pagophila eburnea,Near-threatened,CHARADRIIFORMES,Laridae,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,390,Ivory Gull,Charadriiformes,Laridae,Pagophila eburnea,yes,Ivory Gull,Pagophila eburnea,Arctic circumpolar (mainly associated with ice pack),"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Pandion haliaetus,Osprey,Osprey,Pandion haliaetus,NA,ACCIPITRIFORMES,Pandionidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,3640,Osprey,Accipitriformes,Pandionidae,Pandion haliaetus,yes,Osprey,Pandion haliaetus,NA,Pandionidae (Osprey),Accipitriformes,yes,Pandion haliaetus,Osprey,CONUS & Canada,Accipitriformes,Pandionidae,9/30/2022 - 10/03/2022,yes
Parabuteo unicinctus,Harris's Hawk,Harris's Hawk,Parabuteo unicinctus,NA,ACCIPITRIFORMES,Accipitridae,CAM; hol; NAM; nea; SAM; US48,yes,3350,Harris's Hawk,Accipitriformes,Accipitridae,Parabuteo unicinctus,yes,Harris's Hawk,Parabuteo unicinctus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Parabuteo unicinctus,Harris's Hawk,CONUS & Canada,Accipitriformes,Accipitridae,4/9/2019; checked 9/27/2022,yes
Pardirallus maculatus,Spotted Rail,Spotted Rail,Pardirallus maculatus,Rare/Accidental,GRUIFORMES,Rallidae,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Spotted Rail,Pardirallus maculatus,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Pardirallus maculatus,Spotted Rail,Mexico,Gruiformes,Rallidae,09/16/24,yes
Parkesia motacilla,Louisiana Waterthrush,Louisiana Waterthrush,Parkesia motacilla,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48,yes,6760,Louisiana Waterthrush,Passeriformes,Parulidae,Parkesia motacilla,yes,Louisiana Waterthrush,Parkesia motacilla,eastern USA; winters southern Florida to northwestern South America and West Indies,Parulidae (New World Warblers),Passeriformes,yes,Parkesia motacilla,Louisiana Waterthrush,CONUS & Canada,Passeriformes,Parulidae,9/18/2023-9/19/2023,yes
Parkesia noveboracensis,Northern Waterthrush,Northern Waterthrush,Parkesia noveboracensis,NA,PASSERIFORMES,Parulidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6750,Northern Waterthrush,Passeriformes,Parulidae,Parkesia noveboracensis,yes,Northern Waterthrush,Parkesia noveboracensis,northern North America; winters to West Indies and northern South America,Parulidae (New World Warblers),Passeriformes,yes,Parkesia noveboracensis,Northern Waterthrush,CONUS & Canada,Passeriformes,Parulidae,10/31/2023,yes
Paroaria capitata,Yellow-billed Cardinal,Yellow-billed Cardinal,Paroaria capitata,Introduced species,PASSERIFORMES,Thraupidae,hol; NAM; nea; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-billed Cardinal,Paroaria capitata,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Parus major,Great Tit,Great Tit,Parus major,Uncertain origin,PASSERIFORMES,Paridae,AFR; ASI; EUR; hol; MID; NAM; pal; US48,yes,NA,NA,NA,NA,NA,no,Great Tit,Parus major,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Passer domesticus,House Sparrow,House Sparrow,Passer domesticus,Introduced species,PASSERIFORMES,Passeridae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,6882,House Sparrow,Passeriformes,Passeridae,Passer domesticus,yes,House Sparrow,Passer domesticus,NA,Passeridae (Old World Sparrows),Passeriformes,yes,Passer domesticus,House Sparrow,CONUS & Canada,Passeriformes,Passeridae,8/30/2022,yes
Passer montanus,Eurasian Tree Sparrow,Eurasian Tree Sparrow,Passer montanus,Introduced species,PASSERIFORMES,Passeridae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48,yes,6883,Eurasian Tree Sparrow,Passeriformes,Passeridae,Passer montanus,yes,Eurasian Tree Sparrow,Passer montanus,NA,Passeridae (Old World Sparrows),Passeriformes,yes,Passer montanus,Eurasian Tree Sparrow,CONUS & Canada,Passeriformes,Passeridae,3/2/2023,yes
Passerculus sandwichensis,Savannah Sparrow,Savannah Sparrow,Passerculus sandwichensis,NA,PASSERIFORMES,Passerellidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,5420,Savannah Sparrow,Passeriformes,Passerellidae,Passerculus sandwichensis,yes,Savannah Sparrow,Passerculus sandwichensis,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Passerculus sandwichensis,Savannah Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/10/2023,yes
Passerella iliaca,Fox Sparrow,Fox Sparrow,Passerella iliaca,NA,PASSERIFORMES,Passerellidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,5850,Fox Sparrow,Passeriformes,Passerellidae,Passerella iliaca,yes,Fox Sparrow,Passerella iliaca,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Passerella iliaca,Fox Sparrow,CONUS & Canada,Passeriformes,Passerellidae,10/30/23,yes
Passerina amoena,Lazuli Bunting,Lazuli Bunting,Passerina amoena,NA,PASSERIFORMES,Cardinalidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,5990,Lazuli Bunting,Passeriformes,Cardinalidae,Passerina amoena,yes,Lazuli Bunting,Passerina amoena,southern British Columbia to northwestern Baja California and western Texas; winters in Mexico,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Passerina amoena,Lazuli Bunting,CONUS & Canada,Passeriformes,Cardinalidae,1/31/2023-2/1/2023,yes
Passerina amoena x cyanea,Lazuli x Indigo Bunting (hybrid); hybrid Lazuli Bunting x Indigo Bunting,NA,NA,NA,NA,NA,NA,no,5986,hybrid Lazuli Bunting x Indigo Bunting,Passeriformes,Cardinalidae,Passerina amoena x cyanea,yes,Lazuli x Indigo Bunting (hybrid),Passerina amoena x cyanea,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Passerina amoena x cyanea,hybrid Lazuli Bunting x Indigo Bunting,CONUS & Canada,Passeriformes,Cardinalidae,N/A; hybrid species,yes
Passerina caerulea,Blue Grosbeak,Blue Grosbeak,Passerina caerulea,NA,PASSERIFORMES,Cardinalidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; US48; USak,yes,5970,Blue Grosbeak,Passeriformes,Cardinalidae,Passerina caerulea,yes,Blue Grosbeak,Passerina caerulea,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Passerina caerulea,Blue Grosbeak,CONUS & Canada,Passeriformes,Cardinalidae,2/2/2023; 3/23/2023,yes
Passerina ciris,Painted Bunting,Painted Bunting,Passerina ciris,NA,PASSERIFORMES,Cardinalidae,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,6010,Painted Bunting,Passeriformes,Cardinalidae,Passerina ciris,yes,Painted Bunting,Passerina ciris,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Passerina ciris,Painted Bunting,CONUS & Canada,Passeriformes,Cardinalidae,9/19/2023-9/22/2023,yes
Passerina cyanea,Indigo Bunting,Indigo Bunting,Passerina cyanea,NA,PASSERIFORMES,Cardinalidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,5980,Indigo Bunting,Passeriformes,Cardinalidae,Passerina cyanea,yes,Indigo Bunting,Passerina cyanea,"Canada and USA; winters to Greater Antilles, Colombia, and Venezuela",Cardinalidae (Cardinals and Allies),Passeriformes,yes,Passerina cyanea,Indigo Bunting,CONUS & Canada,Passeriformes,Cardinalidae,01/24/2023-1/31/2023,yes
